,Article,snippet,relevant,Column2
0,After years of shift work and increasing work loads brought on by cuts in provincial health budgets she feels dragged down by the work in her clinic and by incessant home visits Her patients are palliative in the process of dying people with post operative infections and others with diabetic wounds She says it is profoundly draining Her home in a mature neighbourhood with cottonwoods and hazelnut trees is a refuge but only for a few hours at a time At the end of her working day she takes care of her year old mother who lives nearby in a nursing home She is understandably exhausted I enjoy the job in that I can help people but the toll of sicker patients and the amount of paperwork has got to me she says I am thinking I could retire at and still work part time Julia explains The trouble is that there is no guarantee that I may get enough work My problem is that I didn t contribute as much to my pension plan as I now wish I had Yet she is not quite ready to quit Her problem is that her means for retirement which are her financial assets a little over plus a work pension of a month at age which reduces to at CPP and OAS will only provide about to a month before tax whether she ends full time work at which she would like or which she would accept if necessary Family Finance asked Derek Moran head of Smarter Financial Planning Ltd in Kelowna B C to work with Julia She seems solid and sensible and just needs help with compiling her figures and a boost to her confidence he explains It is true that her work pension is less than it might have been had she maxed out her contributions but we can work with that problem Building retirement income With planning Julia can retire at age She should top up her RRSPs She has of space She can take the money from her cash balance of She would get a refund of approximately or which she can add to her TFSA over two subsequent years pushing its present balance to Her RRSP would rise to Mr Moran estimates In retirement Julia can have the full Canada Pension Plan benefit of CPP will be her largest fully indexed pension She could take it at age with a reduction but that would mean giving up a lot of her CPP indexation To match the age CPP at age she could withdraw a year from her RRSP She will be able to draw Old Age Security benefits at age at the full present rate of a year The plan is simple She would add a month as she does now to her RRSP to age then take a year from her RRSP from to The balance left would be She will have preserved her CPP in full and get full indexation and spread the income from her RRSP so that she is not hit with high taxes when under RRIF rules she has to take about at rising to in her s Her monthly income from age to would therefore be from her work pension from the five year bridge to nothing from CPP or OAS and from her RRSP for total income of a month before tax At a average tax rate she would have a month to spend which would exceed her present monthly allocations net of RRSP TFSA and cash savings Monthly income from age forward would be from her work pension CPP benefits from Old Age Security and nothing from investments which could grow at after inflation plus a return from her financial assets Her total income would be a month enough to support present net spending Julia s RRSP funds will have been boosted by a tax refund to but reduced by five years of contributions and eroded by payouts to That sum plus the enhanced balance of her TFSA and cash would leave her total financial assets at These funds invested to return a year after inflation would generate income of a year or a month That would make her total income a month The process of delaying CPP benefits will have both allowed retirement at and created a rising income in retirement Budget choices Julia can get more out of her financial assets by deferring property taxes of a month until sale of her house This privilege available to B C residents and older would save her per year She can add to income by renting out a basement suite which one of her children has used for perhaps a month or a year That is more than enough for payments on a new car or good used model Given her high level of present car maintenance costs as much as a month it could be a wise expenditure Julia is right to see that her financial assets are not very large But that is compensated by her work pension She will have a substantial and growing surplus for her retirement for her adult children or their children perhaps or for donation to good causes Financial Post Email andrew allentuck gmail com for a free Family Finance analysis family finance situation Woman fears she does not have enough savings and pensions to retire strategy Do the math There is more than enough pension income and assets for comfort monthly spending snapshot expenses of Property taxes Real Estate Car fuel transport repairs Food personal Clothes grooming Utilities RRSP TFSA Phone cable Web Misc Savings Car Home insurance Charity gifts Pet care Entertainment Leisure Travel assets of House Real Estate investments RRSPs TFSA Cash Car Nil liabilities of net worth of retirement readiness Four stars out of five,"In British Columbia, Julia, as we'll call her, is a registered nurse who brings home $4,500 a month.
At 60, she is looking at the end of a 35-year career, feeling worn out physically and burned out mentally.",1,
1,CalPERS the largest public pension fund in the US anticipates its management fees will decrease as a percentage of total assets under management as its portfolio grows through these new vehicles In June the public pension fund announced its plans to slash the number of external managers it currently employs from to about over the next five years as part of an effort to reduce the cost risk and complexity of its portfolio Infrastructure and forestland were the exception to that mandate with the number of external managers expected to increase from six to Infrastructure is one of our newer programmes within the asset allocation and we expect to increase the number of managers in that area Ted Eliopoulos CalPERS chief investment officer said during a media call at the time noting that the pension fund had not yet reached its target allocation for the asset class According to the Real Assets Annual Programme Review which managing investment director for real assets Paul Mouchakkaa and his team presented to the investment committee on Monday the infrastructure portfolio has climbed from billion a year ago to billion representing percent of the fund s billion worth of assets The pension s long term target allocation for infrastructure is percent excluding forestland However due to low interest rates and increased competition both of which it says have driven up valuations CalPERS has settled on an interim target of percent for the asset class until April Launched in August CalPERS infrastructure programme has outperformed across all measured periods posting net returns of and percent over a one three and five year period respectively well above its defined benchmarks The strong performance was driven by the programme s direct investments and commingled funds Mouchakkaa and his team stated in the annual review CalPERS aims to maintain this strong performance and increase deployment of capital into the asset class whose role it says includes providing long term inflation protection and portfolio diversification Based in Sacramento CalPERS administers health and retirement benefits on behalf of public school local agency and state employers The institution counts more than million members in its retirement system and more than million in its health plans,"""The news comes a few months after the US pension said it would seek to deploy more capital in the asset class by increasing the number of infrastructure managers it works with.
The California Public Employeesâ€™ Retirement System (CalPERS) expects separate accounts to become its primary road to the infrastructure market as it seeks to benefit from the better economic terms and governance these structures typically offer, its investment staff said this week during a review meeting.",0,
2,YOGHURT SAUCE cup plain non dairy yoghurt tbs chopped coriander tbs sliced spring onions tbs lime juice tsp onion powder tsp lime zest tsp sea salt CURRY CAULIFLOWER g russet potatoes diced g cauliflower florets cut into bite sized pieces cup chopped white onion cup halved cherry tomatoes cup green peas can chickpeas drained and rinsed tbs melted coconut oil tbs curry powder Salt salt and freshly ground black pepper tbs lemon juice Place all the ingredients for the sauce in a bowl and stir until combined Place in the fridge Preheat the grill to about C Place the potatoes cauliflower onions tomatoes peas and chickpeas in a bowl drizzle over the oil and stir to coat Add the curry powder salt and pepper and stir again to coat Lay pieces of foil measuring cm x cm on a surface Divide the mixture among them placing it in the middle Fold the long sides in folding the seam together until it touches the filling Fold the two short sides in twice to seal the ends Place each packet on the grill and cook for minutes flip them over and grill for an another minutes Carefully open one to see if the potatoes and cauliflower are tender If not keep cooking Once cooked place them on a cooling rack for minutes Open squeeze over the lemon season and serve with the sauce CHIPOTLE WHITE BEAN SALAD SANDWICH Serves White beans work well in bean salads like this chipotle sandwich version says Jackie Cashews add protein and texture while the veg round out the flavours CHIPOTLE WHITE BEAN SALAD cup raw cashews can white beans drained rinsed cup diced red onion cup vegan mayonnaise soy free if necessary tsp Dijon mustard tsp chipotle powder tsp smoked paprika tsp sea salt tsp chilli powder SANDWICH FILLING cup mashed avocado tsp lime juice Pinch of salt slices sandwich bread cups baby rocket kale or similar leafy green loosely packed red capsicum sliced with seeds and stems removed orange capsicum sliced with seeds and stems removed slices vegan cheese optional Place the cashews in a bowl cover with hot water and soak for minutes until plump and softened then drain and dice Place in a bowl with the beans onion mayonnaise mustard chipotle paprika salt and chilli Using a fork or potato masher gently mash together until the beans are mostly broken down but still chunky Taste and season more if needed Place in the fridge until ready to assemble the longer it marinates in the fridge the stronger the flavours will be In a separate bowl combine the avocado lime and salt Spread the avocado mash on one side of pieces of bread Divide the bean salad between the other slices then add with the leafy greens and capsicum Top with the cheese then the avocado spread bread Serve or wrap up to enjoy later ZUCCHINI LENTIL STEW Serves This is great to eat all year says Jackie tbs sunflower oil cup diced onion cups chopped zucchini g green beans garlic cloves minced cups chopped tomatoes cups corn kernels cans white beans plus liquid cup low sodium vegetable broth tsp dried basil to taste tsp dried parsley to taste Freshly ground black pepper to taste Pinch of chilli flakes optional tsp sea salt Heat the oil in a pot over medium heat then add the onions zucchini and beans and saut for minutes until the onions are translucent Stir in the garlic tomatoes and corn and saut for another minutes Add the white beans and liquid broth basil parsley pepper and chilli flakes Simmer covered over medium low heat for minutes stirring occasionally Add the salt and more herbs to taste Serve TURN FOR MORE ASPARAGUS SPINACH OMELETTE Makes An omelette may not seem like an inherently vegan dish but this one is outstanding says Jackie Make it for a camping trip or night away so you don t have to sacrifice quality for convenience cup chickpea flour tbs cornstarch tbs nutritional yeast tsp Indian black salt available from health stores tsp black pepper cups vegetable broth cups chopped asparagus woody ends trimmed cup packed baby spinach or rocket cup vegan cheese optional cup diced shallots Cooking oil spray Whisk the flour cornstarch yeast salt and pepper in a bowl Add the broth whisk until smooth and divide among sealable sandwich bags Divide the veg and cheese among the bags and seal these can be stored in the fridge esky for week Warm a pan or skillet over medium heat and spray with the oil Once hot shake the bag pour in the mixture and cook for minutes or until the edges start to brown Flip one half onto the other and cook for another minutes Remove and keep warm as you cook the others Serve hot LENTIL BALLS WITH ZESTY RICE SALAD Serves The lentil balls can be made in bulk in advance and frozen for later use says Jackie This is a really versatile dish that can be enjoyed in all seasons LENTIL BALLS cans black or brown lentils drained and rinsed cup walnut halves tbs chopped dried mushrooms tbs tomato paste tbs fresh parsley tsp sea salt tsp freshly ground black pepper cup gluten free breadcrumbs ZESTY RICE g basmati rice tbs lemon juice tbs minced fresh parsley tsp lemon zest Sea salt to taste SALAD cups chopped lettuce cup halved cherry tomatoes cup slivered red onion lemon wedges Preheat the oven to C and line a tray with baking paper Place the lentils walnuts mushrooms tomato parsley salt and pepper in a food processor with an S blade and pulse until broken into smaller pieces but not yet a paste Fold in the breadcrumbs until combined Using your hands roll the mixture into balls about tbs each and place on the tray Bake for minutes then flip and bake for another minutes Cool on a wire rack for minutes In a pot add the rice to ml water and bring to the boil over medium heat Cover with a lid reduce the heat to medium low and simmer for minutes until tender Stir in the juice parsley zest and salt until combined Taste and season more if needed Combine the lettuce tomatoes and onions in a bowl then divide between dishes Add the rice and balls and serve with the lemon This is an edited extract from Vegan Yack Attack On The Go by Jackie Sobon Murdoch Books out now,"These dishes from plant-based food expert Jackie Sobon will fill you up and satisfy your tastebuds
CAULIFLOWER CURRY GRILL PACKETS WITH YOGHURT SAUCE Serves 4 â€œMake these for friendsâ€™ barbecues, so you can have a quick, tasty meal without worrying if the grill is clean,â€ says Jackie.",0,
3,Although their trip was a holiday not an emigration the couple s experience just goes to show the potential financial costs of an unexpected overseas medical emergency In their case this was the unplanned arrival of their son Dax born some weeks early in New York Media estimates have suggested their total medical bill could have been as high as including the care needed for their premature son had their hospital not agreed to waive most of the fees as a gesture of seasonal goodwill Even a normal birth can be a costly event for couples living abroad Figures supplied by global private health insurance experts MediCare International suggests a problem free childbirth in the Middle East would normally be expected to cost around whereas in the USA costs are more likely to start at Throw in complications such as the requirement for a caesarean section and costs can easily rise by in many hospitals around the world says MediCare International Managing director Debbie Purser urges families to think ahead particularly if they are having their first child where risks can be higher Given the high predictable costs of childbirth International medical insurance normally only comes into force once a potential mother has been enrolled in an international health insurance plan for a continuous period of months prior to the birth In practice this means cover needs to be put in place well before falling pregnant As a result all costs and treatment incurred which relate to a pregnancy whereby the expected date of delivery is before the end of this month period are excluded from cover For those who are already pregnant before moving overseas you ll find you will not be able to buy international medical insurance to cover the costs of the pregnancy and birth Debbie Purser concludes Whilst the case of Lee Johnston and Katie Amos is an extreme one it illustrates well the potentially high costs for expatriates of having to unexpectedly use private medical facilities abroad Arranging private international cover is simple and if a potential customer needs help and advice specialist companies such as ourselves are always on hand to answer queries from our offices in the UK MediCare International s Executive Plus policy offers up to cover for normal pregnancies plus an additional to cover the risk of complex pregnancy costs For details of MediCare s International health insurance plans visit http www medicare co uk email medicare medicare co uk or call Source MediCare International,"Jan. 19 -- UK-based MediCare International issued the following news release:
If history is a good guide, this year's batch of expatriates will begin planning their departure from the UK about now. Having found a job, a place to live and rented or sold their UK home that, for many, will be the extent of their preparations. Financial planning, including shopping around for the right individual international medical insurance is one area which close on half of all new expatriates consistently fail to attend to. Yet the results can be disastrous, as the case of Lee and Katie shows, after they went to the USA in late 2014.",0,
4,And going to cash can be wise with your individual stocks based on the rules of a time tested strategy that tells you when to get in and out of securities But it s anything but wise with the diversified portion of your portfolio your mutual funds for the average investor especially one with a long time horizon If you re in retirement or close to it cashing out whatever amount you need for an upcoming bill can be prudent IBD S TAKE The stock market is now in a correction Read our cover story on why stocks sold off and what you should do now One reason it s risky to go to cash from diversified long term stock mutual funds is that studies repeatedly show how individual mutual fund investors are prone to two pitfalls They rarely if ever get out of the market near its top And they rarely if ever get back into the market at a good time People don t have crystal balls said John Gagliardi a regional brokerage consultant for Fidelity Investments They can t predict the future Instead of selling high and buying back in at the low time and again they end up selling low then buying high because they miss the often explosive start to a rally And remember the market has always rallied despite depressions recessions and world wars Why do investors buy high Even after a rally begins jittery investors who went to cash after the start of market woes are still waiting on the sidelines for the market to look safe Meanwhile the market is piling up some of its sweetest gains The price for missing some of those best days of the market is that your total returns suffer Sure going to cash felt like the safe strategy But it ends up cannibalizing your returns Look what happened if you had invested in the S P between Dec and last Dec If you stayed put remaining fully invested through the market s ups and downs your total return was Your nest egg would have ballooned into But if you got cold feet and pulled out what then If you didn t get back in soon enough to benefit from rallies after various pullbacks and you missed just the best market days during that year period your return got slashed nearly in half to just Putnam Investments calculates Your end balance would have been a far more modest If you missed the best market days your return would have shrunk to a loss Your would have shriveled to Bargain Hunting Another reason not to go to cash is that you miss out on opportunities to buy more shares at a discount in funds you like I see pullbacks as buying opportunities Gagliardi said After all you ve put the work into deciding which mutual funds suit your risk tolerance your investment goals your time horizon and the mix of stocks and bonds that you want Market fundamentals haven t changed said Mark Giambrone a manager of billion USAA Growth Income Fund USGRX Giambrone blames recent market volatility on program trading by index funds Fundamentals are still sound in his view We have a positive economic backdrop for corporate earnings and cash flows and consumer confidence and spending he said In a healthy market and economy such as today s investors should look past short term volatility he says Look through the noise he said Stay focused on the true value of your investments RELATED Stock Market Forecast Smaller Price Gains With A Foreign Tilt You Need This Much Retirement Savings At Your Age And Income Why The Stock Market Sold Off And What You Should Do Now,"Sure, you're jittery. The market has been selling off most days so far this month. Very likely, you're wondering whether to go to cash from your mutual funds or stay the course.
Especially with your diversified stock mutual funds, the answer is stay the course, based on history and strategic thinking. That doesn't mean any fear factor you're feeling is not real. So are the scary memories of past downturns like the financial crisis of 2008-09. Nor does it mean your funds and retirement accounts didn't painfully lose value this month.",0,
5,IT IS a top up pension paid by the state in addition to the basic state pension It replaced the previous top up state pension Serps the State Earnings Related Pension Scheme It should provide a more generous pension to low and moderate earners Any pensions already built up in Serps are protected WHO is entitled to it YOU build up an S P if you are employed and pay qualifying Class National Insurance contributions To do this you must usually earn an average of at least a week If you are entitled to Carer s Allowance Income Support as a carer or get Child Benefit for a child under six you automatically get credits for the S P as well as the basic state pension You can also get S P credits if you get Home Responsibilities Protection which covers mothers of children under and some carers You may get them if you get long term Incapacity Benefit or Severe Disablement Allowance You do not get any S P if you are self employed or get Jobseeker s Allowance and some other disability benefits HOW much is it worth THIS depends on how much you earn over your working life and how many years of qualifying National Insurance contributions you build up Broadly speaking in today s money a worker earning a year can expect a full S P of about a year Someone earning should get about To find out how much you can expect to get in today s money contact The Future Pension Centre at The Pension Service Tyneview Park Whitley Rd Newcastle upon Tyne NE BA or call HOWdoes it work IF YOU earn between a week and a week the S P treats you as if you earn This will give a higher pension than your National Insurance contributions would otherwise supply If your wages are between and a year you still get a boost but the amount reduces the more you earn If you earn between and your S P is based solely on your wages Those earning more have S P based on the cap SO WHAT has gone wrong IN savers were given the chance to opt out of Serps and instead have a rebate from their National Insurance contributions paid into their personal pensions The theory was they would get a bigger retirement income than the state would pay Since then millions have left Serps and the newer S P for personal pensions Now experts reckon the NI rebates are not big enough to match the pension you could get from S P The older you are the more likely you are to lose out Figures from City watchdog the Financial Services Authority show that savers who opted out of the state top up pension in and returned to it in will be between and a week worse off when they retire Spread over years of retirement this could be a loss of almost A host of major insurers such as Prudential Norwich Union and Legal General have started to move some or all of their customers back into the S P because they reckon they will be better off relying on the state Can i switch back into s p YES But you can only opt in and out of S P for full tax years April to April And once you have opted out for a particular year that money must always stay out of the state system To go back in contact your pension company now and say you want to switch from the start of the new tax year in April WHAT S gone wrong with personal pensions FUTURE investment returns are expected to be lower than previously estimated And the cost of buying the annuities which pay retirement incomes is rising so we get a smaller income for our money The amount the Government pays as a rebate to those who choose a personal pension rather than S P called opting out is under review ARE there any advantages to opting out of S P FROM April this year you will be able to take up to pc of your opted out personal pension fund as a tax free cash lump sum something previously not allowed You still won t be able to do this if you stick with S P And there s a political risk of being in S P Governments have cut back on top up pension benefits before and could do so again j hopegood dailymail co uk,"MILLIONS of workers have been told to opt back into the State Second Pension (S2P) because they will be better off in retirement than in alternative private schemes. But what precisely is the State Second Pension, how does it work and could you benefit? JAMES HOPEGOOD explains all.
WHAT is the State Second Pension?",0,
6,Advisors are particularly well positioned to pick up on changes that should be made to an estate plan or the potential gaps within one given their financial oversight role For example if clients say they re going through a divorce or having a baby advisors could remind them that changes may be required in their wills Some clients may not even have a will which an advisor could suss out in the conversation Every advisor has a responsibility to be an educator and pick up on some of those red flags in conversations with clients says Karen Tzupa a financial planning specialist in Saskatoon Too often people fail to update their documents when there are those significant changes in their financial situations It s really about listening and picking up on those cues Here are five often overlooked items in an estate plan of which advisors should be aware Personal loans It s not unusual for parents to lend their adult children money without expecting it to be paid back The loan could become an issue though when the last surviving parent passes away and the executor uncovers the liability in the estate The question is whether the loan is to be forgiven or comes out of that child s share of the estate Ms Tzupa says The answer depends on the family but needs to be clarified in the will which doesn t happen often creating unnecessary friction when it comes time to distribute the assets It s a matter of open dialogue and being clear in discussion with family or even in a will Ms Tzupa says Taxes on registered investments When someone dies his or her estate is responsible for paying the taxes on registered plans such as a registered retirement savings plan RRSP or a registered retirement income fund Too often people don t consider the tax implications of registered investments when aiming to distribute their assets among beneficiaries evenly says Elizabeth Dorsch chief executive of BMO Trust Co and head of estate and trust services at BMO Private Banking in Toronto That s because the beneficiary who is given the registered plans may receive more than those who receive a distribution from the estate as taxes for a registered plan are paid by the estate and are not deducted from the RRSP All of a sudden you have an unequal distribution which wasn t the original intent Ms Dorsch says People think they re doing the right thing but it s actually hurting someone To avoid this scenario she recommends that any registered plans should be distributed equally in the will separate from other assets Shipping costs for inherited physical assets When leaving physical items such as furniture or art to beneficiaries who pays for the cost to ship it to the new owners If the will doesn t make reference to it the beneficiary is responsible for the fees says Ms Dorsch Those costs can really add up if the beneficiary lives in another province or country The issue can be solved by putting instructions in the will to say the shipping costs will be covered by the estate It comes up all the time says Ms Dorsch When we do our will plans we put in a statement that says To be delivered which removes the ambiguity Wills can also be specific about covering other costs such as travel fees for children to attend the funeral especially if they live in another county If it s silent then it s up to the person to cover the costs Ms Dorsch says Sometimes those costs can be quite substantial Outdated or uninformed executor Most people name an executor such as a spouse or family member in their wills to handle the estate when they die In some cases people forget to update their executor when their circumstances change For example someone who names his or her spouse as an executor may forget to change that after a divorce It s important to update an estate plan to ensure the executor is still the best person for the job says David Lee a financial advisor with BlueShore Financial in North Vancouver People should also check to see if the person they designate wants to be the executor Mr Lee says he s come across many people who find out after someone has died that they ve been named the executor of the deceased s estate Being an executor comes with a lot of responsibility Mr Lee says Leaving that to someone could require them to spend a lot of time settling the estate Is the individual the right person to take care of that task He recommends clients review their estate plans every three to five years to ensure the information is still accurate and as desired including the named executor Digital assets More of our lives have moved online which means a growing list of digital assets to keep track of When we pass away executors will need to access many of these online assets which includes everything from cryptocurrencies to accounts on eBay PayPal loyalty reward programs and social media websites Although most people don t see these online items as assets overlooking digital assets in estate planning can be a hassle for executors power of attorneys and beneficiaries Your executor needs to be able to access those accounts Ms Tzupa says And if they can t it can slow things down when it comes to the administration of the estate Advisors should nudge clients to make a list of online assets that can be accessed in their wills Ms Tzupa says If everything is there the executor can get things done in a more efficient manner Follow this link to view this story on globeandmail com Five overlooked items in an estate plan The Globe and Mail,"Financial advisors are good at reminding clients when itâ€™s time to top up their tax-free-saving accounts or contribute to a childâ€™s registered education savings plan, but how about flagging missing information in an estate plan?
Advisors tend to leave the more detailed estate-planning conversations to the lawyers that draw up wills and power of attorney documents. However, those advisors who are looking to add value should also ensure their clientâ€™s estate plans are up to date.",0,
7,The possibility of a deeper bear phase for equities is mesmerising markets The fundamentals have been well trailed Share valuations remain highly stretched The S P trades on about times profits And we remain in entirely uncharted policy territory as central banks start to remove the most gigantic economic stimulus in global history Higher inflation and higher borrowing rates have the potential to curb both company profits and valuations Tomorrow s US inflation figures will be closely watched It s not hard to envisage a pessimistic scenario where a spike in inflation pushes the ten year US treasury yield through the symbolic per cent level for the first time in years Suddenly US shares yielding a mere per cent start to look seriously pricey The psychology of the herd might be just as influential in the coming months What are the alpha beasts in financial markets really feeling Ask any senior figure in business and markets whether they expect a crash and most would say no It s second nature to be seen to be positive Ask them if they d like a crash and they d be even more emphatically negative Nevertheless personal rewards for the big players in capitalism are so structured that many if not most would be better off in the long run if there were a sharp but brief bear market today That goes for bosses their advisers and the fund managers who notionally own their shares One painful year of plunging share prices followed by say four years of nicely rallying share prices almost certainly would be better for them personally than five years of flat prices It s even more true for the young turks snapping at their ankles These folk are for the most part agents not principals Their rewards are asymmetric They do not pay back past bonuses in the bad years A year without a bonus is not a problem if it makes it more likely they hit the jackpot in the years that follow A market crash is a dandy way of resetting the bar Executives at the big listed companies receive the bulk of their pay in long term incentive plans the promise of a bundle of shares tomorrow determined by the share price today linked with base pay and subject to performance conditions They get the same value of shares regardless of the share price today A reduction in the share price therefore means that they get more shares and a much greater chance of making gains on them What s not to like Investment bankers and brokers and many other influential advisers in the City food chain are rewarded for the level of transaction volume generated Rising markets boost volumes And what better way of generating a new phase of rising markets than a short lived but substantial correction Institutional investors and financial advisers are prone to the same cycle In order to generate new inflows they have to show a strong recent track record three years is typical A correction creates a new lower base from which returns can grow again and be shown to grow helping to attract a new generation of clients No one would suggest that there is a deliberate conspiracy to stoke this cycle but one wonders whether subconsciously the most influential people in the boardroom and trading floor can be entirely immune to the notion that if this ten year bull market can t inflate any further it s better it should seriously deflate in preparation for the next one The January timing of this correction is perfect too It comes too late for the present crop of bonuses which are linked to performance up to December and should be pretty strong And since average bear markets last only months the agony can be pretty much all over by this time next year creating an easier springboard from which to generate big rewards in and beyond There s another aspect to all this The notion that rising share prices are good and falling ones bad is simplistic To the extent that a rising share market reflects a lasting improvement in future productivity and profitability it may be a good thing But if built solely on cheerier sentiment and more elastic valuations it is not In London and the southeast after years of house prices rising significantly faster than incomes we are finally learning this message rising asset values are emphatically not good if they put home ownership out of reach of the next generation Something not dissimilar applies to share prices Low asset prices can be a good thing if they allow a generation to get on the investment ladder at a sensible price One s view of house prices and share values entirely depends on where one is on the accumulationdecumulation journey Anyone with most of their pension saving years ahead of them should not be frightened by a share market crash City professionals instinctively know there s something to love in bear markets The same should apply to almost everyone under the age of Patrick Hosking is Financial Editor of The Times,"Small potatoes. That phlegmatic verdict on the share market reversals of the past few days from Bill Dudley, president of the New York Federal Reserve, seems about right. Wall Street's two daily dives of more than 1,000 points apiece last Monday and Thursday might sound alarming, but in percentage terms they were really quite modest. The entire drop in the Dow Jones industrial average from its January 26 peak to Friday's close is only 9 per cent. It merely takes us back to the level of last November.
Yet that doesn't mean that shares, both in the United States and closer to home, can't fall a whole lot further. The market's obsesssion with shortterm volatility might seem a bit esoteric to buy-and-hold investors hoping for a decent retirement income in a few decades' time. But the leap higher in the Vix index, the barometer of expected future volatility, points to a step-change in professional investors' uncertainty.",0,
8,Contact your school s financial aid officer for recommendations The financial aid office is an excellent starting point Many schools offer a list of lenders they recommend to their graduates Don t waste your time with an ineligible lender Applying with your primary loan holder is the fastest and surest way to get the best deal Watch for false deadlines Don t be fooled by misleading marketing hype Be cautious of the word free Although lenders are not permitted to charge borrowers a fee to consolidate their loans it is important to understand all of the costs up front Dig deeper into the lender s borrower benefit program Many lenders offer interest rate reductions for paying on time or via direct debit However a borrower benefit such as interest rate reduction is of no use if the borrower does not meet the balance requirement Get accurate savings estimates A borrower s savings with consolidation will vary based on the interest rate and loan balance While a lender may use maximum balances and minimum interest rates to promote significant examples of savings borrowers should get an estimate for their own situations Borrowers can do that with calculators on www smartloan com or by calling Don t be short sighted Consolidation allows borrowers to extend repayment as long as years so it is important to select a lender that offers flexible repayment options and excellent customer service Apply online to save time Source Sallie Mae,"Here's some help for consolidating those student loans:
Choose a lender.",0,
9,Back then Atlanta still was pretty much a backcountry burg About people lived in Grady s hometown then roughly rd the number that lived in New York at the time Still we Atlantans like Grady s line We like it so much we slapped it on bumper stickers a century later We ve always liked a touch of exaggeration when it comes to talking about our town From the days Atlanta was little more than a wide spot alongside the train tracks through the boom years when Atlantans claimed theirs was the city too busy to hate Atlanta has been boosted by some of the best of them After all this is the hometown of both Coca Cola and Ted Turner So once you cut through the bloat and blather what s Atlanta really like There s no simple answer of course But while you re trying to get a fix on the place here are a half dozen points to ponder We re big The U S Census showed metro Atlanta s population has topped million That means half the population of the state of Georgia lives in the county area we call metro Atlanta That s a lot of people more than live in say Ireland To handle all those people we build big things Our airport Hartsfield International is the busiest in the world The Downtown Connector where I and I run together to make a road that looks lanes across and yet still always feels clogged with traffic once had its own postcard And the Perimeter I a highway intended as an Atlanta bypass but now used as a sort of Main Street for suburbanites is a loop of asphalt miles long We re spread out Grady s little city has grown up to be the poster child for suburban sprawl Metro Atlantans live in an area covering square miles That doesn t mean however that Atlanta s suburbanites regularly stray too far from their private patches of the metro quilt Often about the only things binding together the folks in Alpharetta and Lovejoy or those in Douglasville and Dacula are the interstate highways and telephone area codes We spend a lot of time in cars A recent study found Atlanta drivers spend an average of hours a year stuck in traffic Hey what do you expect We ve got long drives to work A recent AJC Horizon poll found that more than half of us drive a half hour or more one way each day to our jobs that s a minimum of an hour plus a day behind the wheel But we must like it Thirty six percent of the people polled said they d drive minutes or more one way to work before they d even consider using public transportation We like new stuff This is a town for early adapters with a taste for high tech toys The recent AJC Horizon poll found percent of metro homes house a cellphone user The same poll reported percent of us use the Internet for an hour or more a day Meanwhile the portion of metro Atlantans who ve never surfed the Net has fallen from percent to percent in just five years We like winners The Chicago Cubs baseball s lovable losers wouldn t stand a chance in our town Atlanta Braves fans ride their team for merely winning a string of divisional and National League championships in the s while bringing back World Series rings only once What of Atlanta s other pro teams Well we d just rather not talk about them right now thank you We talk a lot about real estate Around here construction is like the weather everybody talks about it at cocktail parties neighborhood gatherings backyard barbecues Most of us aren t from here after all and as long as people keep moving in they ll need houses to live in offices to work in and roads to clog with their SUVs Besides we Atlantans just can t sit still More than half of us have lived in our present homes less than five years that recent AJC Horizon poll found and more than half of us say we plan to move within the next five years So while you re stuck in traffic near the huge hospital that bears Henry Grady s name you can tell yourself Grady wouldn t recognize his brave and beautiful city these days And that s no exaggeration,"One hundred and fifteen years ago, Henry W. Grady, then managing
editor of The Atlanta Constitution, famously bragged to a bunch of
New Yorkers that in Atlanta ""we have raised a brave and beautiful
city"" from the ashes of the Civil War. He was exaggerating a bit, of course.",0,
