,article_title,text,relevant_campbell,relevant_kristen,mismatch
0,Intervention was the right thing to do,"News Intervention was the right thing to do FINANCE  The Bank of England's extraordinary intervention in the UK Government bond market was absolutely necessary. Despite representing an embarrassing U-turn on its recently announced plans to sell £80bn of gilts into the markets, its emergency purchases helped restore stability to UK financial markets.  The need for temporary giltbuying was catalysed by problems arising in UK pension funds, which hold hundreds of billions of pounds in UK gilts.  Record low gilt yields in recent years meant government bond prices rose sharply, earning pension funds large profits. However, with global inflation and interest rates rising all over the world, bond yields have risen during 2022, resulting in significant capital losses for pension investors. The money received from past profits helped them manage those losses but in recent days the situation dramatically worsened.  The loss of confidence in sterling through September sparked a rushed exit from UK assets, pushing 30-year gilt yields above 4 per cent. The day after International Monetary Fund warnings about the direction of UK economic policy, international investors accelerated sales or shorting of UK gilts, causing yields to crash through 5 per cent.  The sudden collapse in gilt prices led financial companies to demand more cash collateral to cover pension fund losses. A £1bn pension fund was, perhaps, suddenly facing cash calls of over £100m. Instead of the usual one or two weeks to allow time for orderly sales, they demanded the money in one or two days. This created a negative spiral because pension funds had run out of buffers and faced either selling gilts or other assets into the falling markets or risking default.  The Bank of England's remit to protect financial stability, required it to step in and stop the situation spinning out of control, reducing 30-year yields to 4 per cent.  Pension funds have been stabilised but it is important to stress that final-salary scheme members were not going to lose all their pensions. They are protected by the Pension Protection Fund, which insures 80-90 per cent of their promised pension.  Defined contribution pension scheme members, whose pensions depend on their investments, and do not promise a specific pension, may have been more severely affected. These funds often have significant investments in gilts and bonds, supposedly to reduce risk and provide stability, but rising bond yields have caused large losses. There is no insurance or employer to underpin these pensions and further bond market crises would mean even lower pensions for members.  The Bank of England's intervention is only a temporary measure. More must be done to restore market confidence. If we are to avoid ongoing financial crises, and pension fund damage, Government must restore confidence in UK economic management. This could include lowering taxes on a wider tax base, boosting private investment, or cutting spending, instead of further unfunded tax cuts.  Baroness Ros Altmann is a Tory peer and pensions expert  Government must restore confidence in UK economic management",0,0,0
1,SIX STATES FILE A CHALLENGE TO THE BIDEN ADMINISTRATION'S STUDENT LOAN CANCELLATION PROGRAM,"SIX STATES FILE A CHALLENGE TO THE BIDEN ADMINISTRATION'S STUDENT LOAN CANCELLATION PROGRAM LINCOLN, Neb., Sept. 29 -- The Nebraska attorney general issued the following news release:  Today, six states filed a challenge to the Biden Administration's student loan cancellation program in federal court in Missouri. In it, they ask the Court for an immediate temporary restraining order pausing the program. Prompt relief is being sought because the Biden Administration has indicated it will start cancelling loan balances as early as next week.  Just a few months ago, the Supreme Court warned federal agencies against ""asserting highly consequential power beyond what Congress could reasonably be understood to have granted"" by statute. Yet the Biden Administration's recently announced student loan cancellation program-the Mass Debt Cancellation-does precisely that.  Determined to pursue across-the-board debt cancellation and stymied by repeated failures to achieve that goal through legislation, the Administration resorted to the now-concluded COVID-19 pandemic and a federal law that applies in the context of military operations or national emergencies as its justification for taking this dramatic action.  In addition to being economically unwise and inherently unfair, the Biden Administration's Mass Debt Cancellation is another example in a long line of unlawful regulatory actions. No statute permits President Biden to unilaterally relieve millions of individuals from their obligation to pay loans they voluntarily assumed.  This burden of economic loss will do little to benefit the working class and the poor. The majority of the Mass Debt Cancellation will accrue to the debt borrowers in the top 60 percent of the income distribution. It is fundamentally unfair for those who can least afford it to provide through their tax dollars relief to the well-off who can afford to pay their own loans.  The law that the Biden Administration relies on is known as the Higher Education Relief Opportunities for Students Act of 2003 (HEROES Act). But it has never been used to do anything like this before. It is inconceivable that when Congress passed the HEROES Act, it thought it was authorizing the President to unilaterally decree something like the Mass Debt Cancellation, which will result in around half a trillion dollars in losses to the federal treasury.  The Mass Debt Cancellation is not remotely tailored to address the effects of the pandemic on federal student loan borrowers, as required by the HEROES Act. The Cancellation instead disregards the Act's objectives and express requirements and distorts the Act beyond recognition in the service of the Administration's political agenda on student loans. It is unlawful and arbitrary agency action, and it should be immediately set aside.  No borrower will be disadvantaged by an immediate court order delaying the loan cancellation program because loan repayments and interest accruals have been paused since March 2020.  States joining in the filing include: Arkansas, Iowa, Kansas, Missouri, Nebraska, and South Carolina.  For any query with respect to this article or any other content requirement, please contact Editor at contentservices@htlive.com",0,0,0
2,"Senator Reverend Warnock Introduces Bill to Ensure Georgia Car Buyers, Automakers Fully Benefit from Cost-Cutting Tax Credits","Senator Reverend Warnock Introduces Bill to Ensure Georgia Car Buyers, Automakers Fully Benefit from Cost-Cutting Tax Credits; Today, Senator Reverend Warnock introduced the Affordable Electric Vehicles for America Act which would create a phase-in period for the electric vehicle (EV) sourcing and manufacturing requirement provisions for automakers that was included in the final version of the Inflation Reduction Act (IRA); Sen. Raphael G. Warnock (D-GA) News Release Washington, D.C. - Today, U.S. Senator Reverend Raphael Warnock (D-GA) introduced the Affordable Electric Vehicles for America Act which would create a phase-in for the electric vehicle (EV) sourcing and manufacturing requirement provisions for automakers that was included in the final version of the Inflation Reduction Act (IRA). The Affordable Electric Vehicles for America Act will ensure Georgians may immediately and fully benefit from the cost-cutting and job-creating provisions of the IRA, including tax credits that will lower the costs of electric vehicles.  ""I'm focused squarely on helping Georgia car buyers save money and helping car manufacturers who do business in our state thrive. The Affordable Electric Vehicles for America Actwill lower costs for Georgians and provide consumers more options when purchasing an electric vehicle, while also supporting good-paying jobs across our state and bolstering Georgia automakers like Hyundai. I'm going to do everything I can to get this bill over the finish line,"" said Senator Reverend Warnock.  The Affordable Electric Vehicles for America Act would delay the IRA's phase-in period for automakers to follow specific sourcing requirements for their EVs in order for car buyers to qualify for the federal tax credit. These requirements include: requiring the EVs to be manufactured in North America; requiring EV batteries to be made domestically; and mandating that critical minerals used in battery production are only sourced domestically or from nations with whom America has a free trade agreement. Georgia automakers need additional time to meet these new on-shoring requirements and bring planned domestic EV facilities online, including the forthcoming Hyundai EV facility scheduled to open in 2025 in Bryan County, GA.  Senator Warnock has been a vocal champion for creating green jobs and reducing America's reliance on fossil fuels. Last week, Senator Reverend Warnock pushed the Biden Administration to implement the IRA's EV tax credit provision with ""maximum flexibility"" to ensure Georgia car buyers and manufacturers can fully benefit. In February, Senator Warnock announced that he secured nearly $20 million in funds from the Bipartisan Infrastructure Law to build out Georgia's EV infrastructure network across the state. Additionally, Senator Warnock has been in frequent contact with Hyundai about the auto manufacturer's footprint and future in Georgia, and has encouraged efforts on the federal level to bolster the company's presence--as well as EV and EV battery manufacturing, in general--in the state.  Read this original document at: https://www.warnock.senate.gov/newsroom/press-releases/senator-reverend-warnock-introduces-bill-to-ensure-georgia-car-buyers-automakers-fully-benefit-from-cost-cutting-tax-credits/",1,0,1
3,10 Markets Where Sellers Are Cutting Home Prices the Most,"Daily 10 Markets Where Sellers Are Cutting Home Prices the Most Sellers reduced their asking prices on roughly one in five U.S. home listings in September, according to data released today. The price cuts come as higher mortgage rates increase the cost of financing a home purchase, weighing on both buyers and sellers.  The share of listings with price reductions in September was 19.5%, according to Realtor.com's housing report-a 2022 high and up from 11% last September. (Barron's and the company that operates Realtor.com are both owned by News Corp.)  Some metropolitan areas in September saw more frequent reductions than others. Of the 50 largest metropolitan areas, the share of listings with price cuts was greatest in Phoenix; Austin; Las Vegas; Denver; Sacramento, Calif.; Dallas; Tampa, Fla.; Nashville, Tenn.; Portland, Ore.; and Jacksonville, Fla. The share of listings with price reductions in these markets ranged from 44% in Phoenix to 25.7% in Jacksonville.  The latest data illustrates a reset in seller expectations compared with the same month last year. With the exception of Portland, the metropolitan areas listed above also experienced the greatest year-over-year increase in the share of listings with price reductions.  Nationally, homes also took longer to sell, with the typical home spending seven more days on the market this month than during September 2021. Compared with the year prior, days on the market increased most in Raleigh, N.C.; Austin; Las Vegas; Phoenix; Charlotte N.C.; Riverside, Calif.; Denver; Nashville; Orlando, Fla.; and Sacramento.  Despite the uptick in price cuts, the median listing price in September remained higher than year-ago levels in all but two of the large metropolitan areas: Pittsburgh and New Orleans. The median listing price nationally was $427,000, representing a year-over-year increase of 13.9%, Realtor.com said.  The data is the latest to illustrate the housing market's quick shift from the early pandemic's buying frenzy to today's affordability-driven pullback as mortgage rates rise. The average 30-year fixed rate more than doubled this year as the Federal Reserve has tightened monetary policy to combat inflation, according to weekly Freddie Mac data.  Higher mortgage rates is one reason why the National Association of Realtors earlier this week revised down its existing-home sale and price expectations for 2023. The trade group expects sales to slump to their slowest annual rate since 2012 next year, and foresees annual price growth of 1.2%.  Amid the gloomy news is a potential bright spot for prospective buyers: the slower market could result in more wiggle room for those previously pushed to the sidelines by competition earlier in the pandemic. ""For prospective buyers grappling with affordability, you may have more bargaining power than you realize, particularly in areas where time on market is rising,"" Danielle Hale, chief economist of Realtor.com, said.  Write to Shaina Mishkin at shaina.mishkin@dowjones.com  10 Markets Where Sellers Are Cutting Home Prices the Most",1,1,0
4,"Biden touts Inflation Reduction Act, critics say student loan cancellation offsets gains","Biden touts Inflation Reduction Act, critics say student loan cancellation offsets gains Missouri Western State College ; St Joseph, MO - news  By  (The Center Square) - President Joe Biden touted the recently passed Inflation Reduction Act during a speech Tuesday, but analysts point to the recent student debt cancellation as an ""offset"" of any reduced inflation and federal debt reduction.  Biden, joined by Vice President Kamala Harris, praised spending items in the bill, pointing to deficit reductions in the legislation and overall since the COVID-era spike in relief spending.  ""So I don't want to hear it anymore about big-spending Democrats,"" he said. ""We spend, but we pay.""  A recent analysis from the Committee for a Responsible Federal Budget, however, found that that the cost to taxpayers to cancel $10,000 to $20,000 per borrower in student debt will more than offset the debt and inflationary benefits of the IRA.  The Congressional Budget Office said that the IRA will cut the deficit by $238 billion over the next decade.  More from this section  AHA News: She Had a Stroke During a Video Call With Her Congressional Representative  How to Start Saving for Your Kids' College  Fewer Pet Neuterings in Pandemic Means Shelters Are Filling Up  But the CRFB estimates Biden's debt cancellation will cost taxpayers more than double that amount, offsetting those gains twofold.  ""The student debt cancellation and relief measures recently announced by the Biden Administration will cost roughly $500 billion over ten years under our estimates, wiping out the $238 billion of ten-year deficit reduction from the Inflation Reduction Act more than two times over,"" the group said. ""In total, we estimate the student debt proposals will cost as much as the first 16 years of IRA deficit reduction on a nominal basis and the first 21 years of deficit reduction on a present value basis.""  The group goes on to say its analysis is likely ""generous"" in the Biden administration's favor.  ""Our estimates may prove overly generous, as they are based on our central estimate, do not incorporate a likely uptick in loans as a result of the new policies, and assume smooth implementation of the IRA,"" the CRFB said. ""Under our higher-end estimate of the student loan plan, it will consume roughly 18 years of IRA savings on a nominal basis and roughly 25 years on a present value basis. If expiring Affordable Care Act subsidy expansions were extended without offsets in the IRA, the student loan plan might consume over 25 years of the savings on a nominal basis, and it is not clear whether such a plan would ever generate enough deficit reduction to finance the student debt cancellation on a present value basis.  ""In addition, as we have pointed out before, the inflationary effects of the new student debt plan will far outweigh any disinflationary effects from the IRA,"" the group added.  Originally published on thecentersquare.com, part of the TownNews Content Exchange.  ((Distributed for UWIRE via M2 Communications www.m2.com))",0,1,1
5,ULTIMUTT DEAL Aldi’s new £40 Specialbuy item is perfect for dog owners,"Money,News Money,Aldi,Deals and sales,Dogs,Money saving,Pets,Shopping advice ULTIMUTT DEAL Aldi's new £40 Specialbuy item is perfect for dog owners If you click on a link in this story we may earn affiliate revenue.  ALDI has released a velvet sofa bed for your cat or dog, just in time for the longer nights.  As winter creeps ever closer, the Aldi sofa bed is ideal for your pet to curl up on as the temperature drops.  It is part of Aldi's Specialbuy range - a unique range of products that you can find online and in store.  The sofa bed comes in grey velour, so it's super stylist to be displayed in your home.  The budget supermarket says it is ideal for small dogs and cats.  It will set you back £39.99 - although that's much cheaper than other similar pet beds we found for sale.  For example, John Lewis has a pet lounge faux leather sofa for £110, while Wayfair.co.uk has a similar sofa for £69.99.  But it's only a good deal if you were thinking of buying something similar already.  It's also always a good idea to shop around to see if you can find a better price elsewhere.  If you're thinking of buying the pet sofa bed you'll have to be quick, as with all Specialbuys, once they're gone, they're gone.  It is also only available to buy online, and will not be sold in any of Aldi's 900 stores.  But if you're looking to pamper your pet even more, Aldi is also selling a grey, scalloped dog chair.  It's a bit more pricey than the sofa at £44.99, but Aldi says it gives your pets the perfect place to relax.  It is available to pre-order today, and can be bought instore from Sunday, September 18.  Aldi is closing all of its store on Monday, September 19 to make the Queen's funeral - you can see the full list of stores closing their doors here.  What are Aldi Specialbuys?  Aldi Specialbuys are products available at competitive prices across all departments, including home, beauty and appliances.  They are often items in high demand, with many being limited edition products or incredible dupes of well know brands that are a fraction of the cost.  On the website, Aldi describes the them as ""the deals on homeware, gardening, toys and more.""  What time do Aldi Special buys go online?  Aldi Specialbuys drop every Thursday and Sunday, but what time do they land online?  The Thursday launch sees Specialbuys go live at 8am, while on Sundays items are released a little later in the morning, at 10am.  If you're looking for some Aldi insider secrets, we've rounded up the four things you need to know to get a great deal at the supermarket.  You can also check out top tips for saving money when you're shopping at Lidl and Wilko.",0,0,0
6,Students react to Biden's student debt relief plan,"Students react to Biden's student debt relief plan University of Mississippi ; University, MS - news  By Alyssa Conrad  Graphic by Savannah Shook.  Recently, President Joe Biden made good on his promise to forgive student loan debt. In an official statement addressing the student loan relief plan released on Aug. 24, Biden said it will allow people to ""finally crawl out from under that mountain of debt to get on top of their rent and utilities, to finally think about buying a home or starting a family or starting a business.""  Citizens with annual adjusted gross salaries less than $125,000 (or $250,000 per household) will receive $10,000 off their student loan debt. Citizens with qualifying salaries who are also eligible for a Pell Grant will receive an additional $10,000 off their student loans.  In order to qualify, the loans must be federal, not privately issued. Some current students are also eligible for student loan cancellation, based on free application for federal student aid and whether or not they filed as independent or dependent. Student loan forgiveness for independent students will be based on their own incomes, whereas parent incomes will be taken into account for those who filed as dependents.  Like citizens across the country, UM students have mixed feelings about the plan.  ""I think it's dumb because it's not fixing the underlying problem of higher education being too expensive in the first place,"" Mary-Patt Robben, a sophomore public policy major, said.  Robben believes that student loan forgiveness is not the correct way to combat the increasing cost of a college education and only provides a temporary solution for the issue.  But that isn't how everyone feels about the topic of student loan forgiveness. UM senior Jared Holly, a psychology and nursing major, wholeheartedly supports the new plan.  ""I'm all for it. I'll pay the taxes or whatever it takes. I'm not even necessarily one of those students in debt - I'm grateful to have parents who pay for my education, but I think we should cancel out more,"" Holly said.  Preston Kennedy, a sophomore international studies major also supports the plan, but he thinks that the plan does not go far enough.  ""I feel like, if we're going to spend this much, we should just forgive it all,"" Kennedy said. ""It's a step in the right direction, but if we're willing to spend billions of dollars on this, we should just go all the way.""  It is estimated that around 8 million citizens will get their expected debt forgiveness without needing to take any additional action because their current income information is on file with the U.S. Department of Education. For those without up to date income information on file, there will be an online form released where they can claim the debt forgiveness if they qualify for it. This application is expected to be released within the coming months.  ((Distributed for UWIRE via M2 Communications www.m2.com))",1,1,0
7,"A GOP attorney general says people are 'celebrating prematurely' Biden's student-loan forgiveness, suggesting lawsuits are to come","A GOP attorney general says people are 'celebrating prematurely' Biden's student-loan forgiveness, suggesting lawsuits are to come * Arizona Attorney General Mark Brnovich told CNBC student-loan forgiveness is being lauded ""prematurely.""  * He said he is looking for ways to legally challenge Biden's debt relief.  * Other GOP lawmakers like Ted Cruz have also said they are pursuing ways to block the policy.  Another Republican politician voiced intentions to legally challenge President Joe Biden's student-loan forgiveness.  Arizona Attorney General Mark Brnovichtold CNBC on Tuesday it might be too soon to bank on Biden's announcement to forgive $10,000 to $20,000 in student-loan debt for federal borrowers making under $125,000 a year. He said Biden is on ""very, very shaky legal grounds right now.""  ""I think there's a lot of people celebrating prematurely,"" Brnovich told CNBC. ""A lot of other people are very upset about this, not only because of legal arguments, but because they believe it's fundamentally unfair.""  The Biden administration said the authority to wipe out that debt is granted under the HEROES Act of 2003, which gives the Education Secretary the ability to waive or modify student-loan balances in connection with a national emergency, like COVID-19.  But critics of the plan have argued that is an overreach of the authority, and the legal grounds do not exist for the president to cancel that amount of student debt.  Brnovich added that a lawsuit should be filed ""sooner rather than later"" so borrowers do not become to reliant on relief, and he said he's confident he can find a plaintiff that could challenge Biden's actions.  ""If we can bring a challenge, we will bring a challenge,"" Brnovich said.  While there was legal debate prior to Biden's announcement of loan forgiveness, the conversation has only amplified since then. Biden's Education and Justice Departments both released memos concluding the Education Secretary does have the authority to enact one-time blanket relief due to pandemic-caused financial hardship, and they also rescinded a memo from former President Donald Trump saying the authority to cancel student debt broadly does not exist.  Still, Republicans and conservative groups have said they are pursuing legal routes to overturn the policy. Texas Sen. Ted Cruz, for example, toldThe Washington Post that he is ""brainstorming"" ways to block debt relief after acknowledging it could be difficult to find a plaintiff. Abby Shafroth, staff attorney at the National Consumer Law Center, also previously told Insider that it will be difficult to prove someone has suffered a concrete injury as a result of Biden's debt cancellation.  For now, it's unclear how any legal action will progress, and the Education Department is continuing to tell federal borrowers to prepare for an application for relief to become live in early October, and they will have until the end of next year to submit their form.  Read the original article on Business Insider",0,0,0
8,Energy deal ban: Ofgem green lights major change for Brits - ‘More resilient and fair’,"Energy deal ban: Ofgem green lights major change for Brits - 'More resilient and fair' OFGEM is set to ban energy suppliers from only offering discount deals to new customers, in an attempt to stop more energy firms going bust.  The policy will mean that these deals must be offered to both new and existing customers, as well as stopping loyal customers being penalised for not switching energy suppliers. Since September last year, more than two dozen energy companies have gone bust, having relied on new customers with discounted deals and loss making prices to stay solvent.  Related articles  They were unable to stay afloat when the price of gas on the wholesale market dramatically increased.  The policy, set to be implemented on April 14, will remain in place for six months before Ofgem reviews it and decides whether it will become permanent.  Simon Oscroft, co-founder of energy supplier So Energy, said the policy would, ""help build a more resilient and fairer energy energy market as we begin to emerge from this crisis"".  In a statement, Ofgem said: ""The energy market has faced a huge challenge due to the unprecedented increase in global gas prices, a once-in-a-30-year event.  ""We're putting in place short-term measures to protect customers.  ""All suppliers will have to offer existing customers the same deals available to new customers.  ""This will ensure customers can benefit from all tariffs available in the market and enable more customers to benefit when wholesale prices fall.  READ MORE: Cold Weather Payment recipients 'should get £500' DWP told  Related articles  ""We'll monitor how effective this is before considering whether it should become an enduring measure in the market.""  From April, 22 million households in Britain will see their energy bill rise by 54 percent as Ofgem announced the energy price cap will rise from £1,277 to £1,971 per year.  This is an increase of on average £693, however for 4.5 million prepayment customers their bills will rise on average by £708.  DON'T MISS:  Britons working at home slapped with massive energy bills [SPOTLIGHT]  Stack your dishwasher this way to save you money on your energy bills [TIPS]  Brits fear cost of living will make their lifestyle unaffordable[LIFESTYLE]  Global gas prices have risen at record levels over the past six months, meaning energy bills may rise yet again in October after the price cap is next revised.  There are fears that British citizens may face a ""cost of living catastrophe"", with increases in food prices and National Insurance payments.  The Bank of England has predicted spending power will fall by 2 percent in 2022, as wage rises are not keeping up with the increase in the cost of living.  This is only the third time such a fall has taken place since 1990.  Related articles Heating costs 'much higher' for older people, Sunak warned Families eligible for triple Cold Weather Payment as energy bills rise Government has announced a £150 council tax rebate",0,0,0
9,Couple who bought B&Q plant for just £12 discover its leaves are worth £170 each,"Money Couple who bought B&Q plant for just £12 discover its leaves are worth £170 each Harry Langstaff and Amy Biffa couldn't believe it when they spotted the super rare monstera Aurea marmorata plant had been marked down from £24 to £12 in their local B&Q  A couple are quids in after they purchased a rare plant from B&Q for just £12 -but its leaves are worth £170 each.  Harry Langstaff and Amy Biffa spotted the plant had been marked down from £24 to £12.  The couple believe it had been reduced due to yellow colouring that had appeared on its leaves, which staff could've mistaken for a disease -but this actually means the plant is extremely rare.  Harry and Amy picked up a monstera Aurea marmorata -which can sell for anywhere between £200 for a clipping, to £2,000 for a whole plant.  The amateur botanists said they felt like they were ""winning the lottery"" when they spotted the discount.  It comes after plant collectors urged shoppers to check shops for unusual shrubs in B&Q and Lidl -again, as staff are mistakenly marking down rare species over fears they are sick.  Harry told The Sun : ""When we first saw the plant sitting there, we kind of just looked at each other and really couldn't believe what we were seeing.  ""It was reduced to £12 because it had a yellow leaf that B&Q must have assumed meant it was sick.  ""We hastily checked the stem for any colour, we then immediately just snatched it up and strapped it in the back seat with a seatbelt like it was our child.""  The couple had been searching stores for rare plants for their small business, The Plant Couple.  Harry reckons their plant is worth about £600 at the moment and says they'll sell the leaves at £170 each.  The couple say the plant would need to have elaborate multi-coloured leaves to be worth as much as £2,000.  To check whether your plant is rare or just has one yellow dry leaf, Harry recommends looking at the stem to see if this too is also yellow or white.  If the stem shows signs of striping, then it's variegated -which means showing different colours -and your plant could be worth a small fortune.  Even then, you have to wait until it has grown properly to make sure it isn't just a disease.  Harry says the chances of finding a super rare plant in a local shop can be ""extremely slim, one in a million"".  A B&Q spokesperson said: ""At B&Q we're pretty proud of the quality of our house plants so we can see why it's been reported that our plants could be worth up to £4,000.  ""Whilst we don't sell the extremely rare plants in question, we do sell top quality houseplants that our customers are more familiar with and that are more purse-friendly!""",0,0,0
10,Drivers face £35bn tax bill to plug the gap as switch to electric cars hits revenue,"News Drivers face £35bn tax bill to plug the gap as switch to electric cars hits revenue * Fuel duty is spent on schools, hospitals and other priorities such as the police  * But at present drivers of electric cars pay no fuel duty nor vehicle excise duty  * Government urged to have a 'conversation' with drivers on new ways to be taxed  * The report recommends 'road pricing' which would charge drivers per car trip  Drivers will have to pay new taxes to plug the £35billion shortfall created by the switch to electric cars - and ministers must spell out what they are, a report says today.  The Commons transport committee's report urges the Government to start an 'up-front conversation' with drivers about new ways they could be taxed.  At present, drivers of electric cars pay no fuel duty, which nets £28billion a year, or vehicle excise duty, which brings in £7billion.  Fuel duty is spent on schools, hospitals and other priorities such as the police.  Vehicle excise duty is spent fixing roads. To replace them, the report recommends 'road pricing', which would charge drivers per trip, based on the distance travelled, duration of the journey and vehicle type.  It also urges ministers to set up an arms-length body to recommend a new regime by the end of this year.  The sale of new petrol and diesel cars will be banned in 2030, so millions of motorists are expected to go electric before then.  A government spokesman said it was committed to keeping the transition to electric cars 'affordable for consumers'.  Figures from the Society of Motor Manufacturers and Traders show plug-in vehicles accounted for more than one in six new cars registered in the UK last year.  'The situation is urgent,' the report warned. 'Work must begin without delay.'  Tory MP Huw Merriman, who chairs the committee, said the UK faces a '£35 billion black hole in finances unless the Government acts now'.  He went on: 'That's 4% of the entire tax-take. Only £7 billion of this goes back to the roads; schools and hospitals could be impacted if motorists don't continue to pay.  'We need to talk about road pricing.  'Innovative technology could deliver a national road pricing scheme which prices up a journey based on the amount of road, and type of vehicle, used.'  He added: 'Net-zero emissions should not mean zero tax revenue.'  RAC Foundation director Steve Gooding said the 'silver lining of zero-carbon motoring comes wrapped in a cloud of trouble for the Chancellor'.  He went on: 'Drivers choosing to go electric deserve to know what is coming next - particularly if the promise of cheap per-mile running costs is set to be undermined by a future tax change.  'If the Treasury is thinking it can leave this issue for another day but still recoup their losses from electric vehicles they risk a furious backlash from drivers who made the choice to go electric expecting to save money.'",1,1,0
11,Sultan ‘partner’ joins will battle,"Index Sultan 'partner' joins will battle A WOMAN stated to be the de facto partner of late property mogul Ali Sultan has been drawn into a high-profile estate battle with his eldest son.  Moe Sultan is challenging his father's will in an ongoing Supreme Court of Tasmania clash, alleging executors and trustees of his father's most recent will misused money from the estate and appointed themselves directors of Sultan Holdings.  Rola Taychouri-Smith has recently been added as a defendant in the proceedings, with Moe Sultan noting various incarnations of his father's will since November 2018 granted her annual legacies and/or a specific bequest.  Moe Sultan says his father's last true will was made in July 2018 or earlier, and that subsequent versions did not represent his father's intentions and were not valid wills ""as he did not know and approve his contents"" when he executed them.  In her defence filed with the court, Ms Taychouri-Smith says she was the second cousin of Ali Sultan as her paternal grandmother was his maternal grandmother's sister.  But she also said she had been in a romantic relationship with Ali Sultan at the time of his death as his de facto spouse. She said that while Ali Sultan was married to Christine Sultan, their relationship ended in 2014 and they were ""in the final stage of formalising their divorce at the time the deceased died"".  She denied wills made in November 2018, November 2019 and December 2020 were invalid.  Ali Sultan, a well-known businessman, died unexpectedly in January 2021 after a heart attack while walking on kunanyi/Mt Wellington.  Moe Sultan claims his father had limited English skills, particularly in comprehension of written documents, and that newer versions of the will did not reflect his intentions. A number of defendants have already denied claims of wrongdoing in the case, including Integrity Commission chief commissioner Aziz Gregory Melick, Sultan Holdings accountant Mark Saltzman and lawyer Damian Egan.  Moe Sultan's younger brother Saleh, also listed as a defendant, has previously filed a written defence with the court, although the amended statement of claim does not allege any wrongdoing by him.  Two further defendants, Mezed Eid and Mohamad Eid, have now also filed a joint defence with the court, denying claims the later versions of Ali Sultan's will were not valid.  However, they agreed with Moe Sultan's claims that the December 2020 will did not represent Ali Sultan's testamentary intentions.  Two defendants - lawyer Ian Creese and Sultan Holdings project development manager Timothy Lucas - previously rescinded their involvement and are no longer parties to the dispute.  On Wednesday, lawyers for all parties involved appeared in the Supreme Court of Tasmania via video link before Associate Justice Stephen Holt. He ordered all defendants file affidavit material within 21 days, with a further directions hearing to be held on March 9. The matter is slated for mediation, and if it does not resolve will go to trial.",0,1,1
