article_title,text,relevant
"Senator Reverend Warnock Introduces Bill to Ensure Georgia Car Buyers, Automakers Fully Benefit from Cost-Cutting Tax Credits","Senator Reverend Warnock Introduces Bill to Ensure Georgia Car Buyers, Automakers Fully Benefit from Cost-Cutting Tax Credits; Today, Senator Reverend Warnock introduced the Affordable Electric Vehicles for America Act which would create a phase-in period for the electric vehicle (EV) sourcing and manufacturing requirement provisions for automakers that was included in the final version of the Inflation Reduction Act (IRA); Sen. Raphael G. Warnock (D-GA) News Release Washington, D.C. - Today, U.S. Senator Reverend Raphael Warnock (D-GA) introduced the Affordable Electric Vehicles for America Act which would create a phase-in for the electric vehicle (EV) sourcing and manufacturing requirement provisions for automakers that was included in the final version of the Inflation Reduction Act (IRA). The Affordable Electric Vehicles for America Act will ensure Georgians may immediately and fully benefit from the cost-cutting and job-creating provisions of the IRA, including tax credits that will lower the costs of electric vehicles.  ""I'm focused squarely on helping Georgia car buyers save money and helping car manufacturers who do business in our state thrive. The Affordable Electric Vehicles for America Actwill lower costs for Georgians and provide consumers more options when purchasing an electric vehicle, while also supporting good-paying jobs across our state and bolstering Georgia automakers like Hyundai. I'm going to do everything I can to get this bill over the finish line,"" said Senator Reverend Warnock.  The Affordable Electric Vehicles for America Act would delay the IRA's phase-in period for automakers to follow specific sourcing requirements for their EVs in order for car buyers to qualify for the federal tax credit. These requirements include: requiring the EVs to be manufactured in North America; requiring EV batteries to be made domestically; and mandating that critical minerals used in battery production are only sourced domestically or from nations with whom America has a free trade agreement. Georgia automakers need additional time to meet these new on-shoring requirements and bring planned domestic EV facilities online, including the forthcoming Hyundai EV facility scheduled to open in 2025 in Bryan County, GA.  Senator Warnock has been a vocal champion for creating green jobs and reducing America's reliance on fossil fuels. Last week, Senator Reverend Warnock pushed the Biden Administration to implement the IRA's EV tax credit provision with ""maximum flexibility"" to ensure Georgia car buyers and manufacturers can fully benefit. In February, Senator Warnock announced that he secured nearly $20 million in funds from the Bipartisan Infrastructure Law to build out Georgia's EV infrastructure network across the state. Additionally, Senator Warnock has been in frequent contact with Hyundai about the auto manufacturer's footprint and future in Georgia, and has encouraged efforts on the federal level to bolster the company's presence--as well as EV and EV battery manufacturing, in general--in the state.  Read this original document at: https://www.warnock.senate.gov/newsroom/press-releases/senator-reverend-warnock-introduces-bill-to-ensure-georgia-car-buyers-automakers-fully-benefit-from-cost-cutting-tax-credits/",1
10 Markets Where Sellers Are Cutting Home Prices the Most,"Daily 10 Markets Where Sellers Are Cutting Home Prices the Most Sellers reduced their asking prices on roughly one in five U.S. home listings in September, according to data released today. The price cuts come as higher mortgage rates increase the cost of financing a home purchase, weighing on both buyers and sellers.  The share of listings with price reductions in September was 19.5%, according to Realtor.com's housing report-a 2022 high and up from 11% last September. (Barron's and the company that operates Realtor.com are both owned by News Corp.)  Some metropolitan areas in September saw more frequent reductions than others. Of the 50 largest metropolitan areas, the share of listings with price cuts was greatest in Phoenix; Austin; Las Vegas; Denver; Sacramento, Calif.; Dallas; Tampa, Fla.; Nashville, Tenn.; Portland, Ore.; and Jacksonville, Fla. The share of listings with price reductions in these markets ranged from 44% in Phoenix to 25.7% in Jacksonville.  The latest data illustrates a reset in seller expectations compared with the same month last year. With the exception of Portland, the metropolitan areas listed above also experienced the greatest year-over-year increase in the share of listings with price reductions.  Nationally, homes also took longer to sell, with the typical home spending seven more days on the market this month than during September 2021. Compared with the year prior, days on the market increased most in Raleigh, N.C.; Austin; Las Vegas; Phoenix; Charlotte N.C.; Riverside, Calif.; Denver; Nashville; Orlando, Fla.; and Sacramento.  Despite the uptick in price cuts, the median listing price in September remained higher than year-ago levels in all but two of the large metropolitan areas: Pittsburgh and New Orleans. The median listing price nationally was $427,000, representing a year-over-year increase of 13.9%, Realtor.com said.  The data is the latest to illustrate the housing market's quick shift from the early pandemic's buying frenzy to today's affordability-driven pullback as mortgage rates rise. The average 30-year fixed rate more than doubled this year as the Federal Reserve has tightened monetary policy to combat inflation, according to weekly Freddie Mac data.  Higher mortgage rates is one reason why the National Association of Realtors earlier this week revised down its existing-home sale and price expectations for 2023. The trade group expects sales to slump to their slowest annual rate since 2012 next year, and foresees annual price growth of 1.2%.  Amid the gloomy news is a potential bright spot for prospective buyers: the slower market could result in more wiggle room for those previously pushed to the sidelines by competition earlier in the pandemic. ""For prospective buyers grappling with affordability, you may have more bargaining power than you realize, particularly in areas where time on market is rising,"" Danielle Hale, chief economist of Realtor.com, said.  Write to Shaina Mishkin at shaina.mishkin@dowjones.com  10 Markets Where Sellers Are Cutting Home Prices the Most",1
Students react to Biden's student debt relief plan,"Students react to Biden's student debt relief plan University of Mississippi ; University, MS - news  By Alyssa Conrad  Graphic by Savannah Shook.  Recently, President Joe Biden made good on his promise to forgive student loan debt. In an official statement addressing the student loan relief plan released on Aug. 24, Biden said it will allow people to ""finally crawl out from under that mountain of debt to get on top of their rent and utilities, to finally think about buying a home or starting a family or starting a business.""  Citizens with annual adjusted gross salaries less than $125,000 (or $250,000 per household) will receive $10,000 off their student loan debt. Citizens with qualifying salaries who are also eligible for a Pell Grant will receive an additional $10,000 off their student loans.  In order to qualify, the loans must be federal, not privately issued. Some current students are also eligible for student loan cancellation, based on free application for federal student aid and whether or not they filed as independent or dependent. Student loan forgiveness for independent students will be based on their own incomes, whereas parent incomes will be taken into account for those who filed as dependents.  Like citizens across the country, UM students have mixed feelings about the plan.  ""I think it's dumb because it's not fixing the underlying problem of higher education being too expensive in the first place,"" Mary-Patt Robben, a sophomore public policy major, said.  Robben believes that student loan forgiveness is not the correct way to combat the increasing cost of a college education and only provides a temporary solution for the issue.  But that isn't how everyone feels about the topic of student loan forgiveness. UM senior Jared Holly, a psychology and nursing major, wholeheartedly supports the new plan.  ""I'm all for it. I'll pay the taxes or whatever it takes. I'm not even necessarily one of those students in debt - I'm grateful to have parents who pay for my education, but I think we should cancel out more,"" Holly said.  Preston Kennedy, a sophomore international studies major also supports the plan, but he thinks that the plan does not go far enough.  ""I feel like, if we're going to spend this much, we should just forgive it all,"" Kennedy said. ""It's a step in the right direction, but if we're willing to spend billions of dollars on this, we should just go all the way.""  It is estimated that around 8 million citizens will get their expected debt forgiveness without needing to take any additional action because their current income information is on file with the U.S. Department of Education. For those without up to date income information on file, there will be an online form released where they can claim the debt forgiveness if they qualify for it. This application is expected to be released within the coming months.  ((Distributed for UWIRE via M2 Communications www.m2.com))",1
Drivers face Â£35bn tax bill to plug the gap as switch to electric cars hits revenue,"News Drivers face Â£35bn tax bill to plug the gap as switch to electric cars hits revenue * Fuel duty is spent on schools, hospitals and other priorities such as the police  * But at present drivers of electric cars pay no fuel duty nor vehicle excise duty  * Government urged to have a 'conversation' with drivers on new ways to be taxed  * The report recommends 'road pricing' which would charge drivers per car trip  Drivers will have to pay new taxes to plug the Â£35billion shortfall created by the switch to electric cars - and ministers must spell out what they are, a report says today.  The Commons transport committee's report urges the Government to start an 'up-front conversation' with drivers about new ways they could be taxed.  At present, drivers of electric cars pay no fuel duty, which nets Â£28billion a year, or vehicle excise duty, which brings in Â£7billion.  Fuel duty is spent on schools, hospitals and other priorities such as the police.  Vehicle excise duty is spent fixing roads. To replace them, the report recommends 'road pricing', which would charge drivers per trip, based on the distance travelled, duration of the journey and vehicle type.  It also urges ministers to set up an arms-length body to recommend a new regime by the end of this year.  The sale of new petrol and diesel cars will be banned in 2030, so millions of motorists are expected to go electric before then.  A government spokesman said it was committed to keeping the transition to electric cars 'affordable for consumers'.  Figures from the Society of Motor Manufacturers and Traders show plug-in vehicles accounted for more than one in six new cars registered in the UK last year.  'The situation is urgent,' the report warned. 'Work must begin without delay.'  Tory MP Huw Merriman, who chairs the committee, said the UK faces a 'Â£35 billion black hole in finances unless the Government acts now'.  He went on: 'That's 4% of the entire tax-take. Only Â£7 billion of this goes back to the roads; schools and hospitals could be impacted if motorists don't continue to pay.  'We need to talk about road pricing.  'Innovative technology could deliver a national road pricing scheme which prices up a journey based on the amount of road, and type of vehicle, used.'  He added: 'Net-zero emissions should not mean zero tax revenue.'  RAC Foundation director Steve Gooding said the 'silver lining of zero-carbon motoring comes wrapped in a cloud of trouble for the Chancellor'.  He went on: 'Drivers choosing to go electric deserve to know what is coming next - particularly if the promise of cheap per-mile running costs is set to be undermined by a future tax change.  'If the Treasury is thinking it can leave this issue for another day but still recoup their losses from electric vehicles they risk a furious backlash from drivers who made the choice to go electric expecting to save money.'",1
Press Release: California American Water Seeks Bill Relief for Customers Financially affected by COVID Pandemic,"Press Release: California American Water Seeks Bill Relief for Customers Financially affected by COVID Pandemic California American Water Seeks Bill Relief for Customers Financially affected by COVID Pandemic    SAN DIEGO--(BUSINESS WIRE)--January 31, 2022--   California American Water has filed an application with the State Water Resources Control Board to help provide financial support to customers who were unable to pay their water bills during the coronavirus pandemic. The funding will enable the utility to forgive past-due balances incurred by its customers between March 2020 and June 2021.  California American Water requested $6.8 million in relief for customers across its California service areas. The company anticipates receiving final approval by the State Water Resources Control Board around the first of the year. Customers do not have to apply for debt forgiveness. If approved, California American Water will apply any credits to affected customers' accounts within 60 days after receiving funding from the state, which is expected to arrive by February 2022.  ""As we continue to see the effects from the ongoing pandemic, we understand that our customers may still be struggling financially,"" said Kevin Tilden, President of California American Water. ""We hope this debt relief will ease some of the burden our customers face as a result of the COVID emergency.""  This relief is another step California American Water has taken to provide financial aid to its customers. Customers with remaining balances pre-dated to the pandemic or have accrued after June 15, 2021, can utilize interest and penalty-free payment plans or extensions, preventing them from experiencing disruptions in service after the moratorium on disconnections for non-payment expires. Eligible customers can also enroll in California American Water's Assistance Program, which provides qualifying customers a discount on their monthly service charge.  About California American Water: California American Water, a subsidiary of American Water (NYSE: AWK), provides high-quality and reliable water and/or wastewater services to more than 880,000 California residents. Information regarding California American Water's service areas can be found on the company's website www.californiaamwater.com.  About American Water  With a history dating back to 1886, American Water (NYSE:AWK) is the largest and most geographically diverse U.S. publicly traded water and wastewater utility company. The company employs approximately 6,400 dedicated professionals who provide regulated and regulated-like drinking water and wastewater services to an estimated 14 million people in 25 states. American Water provides safe, clean, affordable and reliable water services to our customers to help keep their lives flowing. For more information, visit amwater.com and follow American Water on Twitter , Facebook    and LinkedIn .         CONTACT:    Evan Jacobs  Director of External Affairs  Phone: 707-495-6135  Email: evan.jacobs@amwater.com  31 Jan 2022 13:47 ET *California American Water Seeks Bill Relief for Customers Financially Affected by Covid Pandemic  31 Jan 2022 13:48 ET *California American Water Files Application With State Water Resources Control Bd to Help Provide Fincl Support to Customers Unable to Pay Bills During Pandemic  (END) Dow Jones Newswires",1
"Hickenlooper Cheers Record 200,000 Coloradans Enrolled for Health Insurance with Connect for Health; Sen. John W. Hickenlooper (D-CO) News Release","Hickenlooper Cheers Record 200,000 Coloradans Enrolled for Health Insurance with Connect for Health; Sen. John W. Hickenlooper (D-CO) News Release Denver, Colo.-Today, Senator John Hickenlooper applauded Connect for Health Colorado's announcement that 198,412 Coloradans signed up for a health insurance plan by the end of the most recent Open Enrollment Period. This marks an increase of more than 18,000 enrollments, or 10 percent, above last year's end of Open Enrollment total, and is the highest end of Open Enrollment total since Connect for Health Colorado opened in 2013.  Three out of four customers who signed up for a plan qualified for health insurance savings via premium subsidies passed by Congress as part of the American Rescue Plan. Thanks to these subsidies, individuals can save an average of 52 percent on their monthly premium.  While the annual enrollment period has ended, uninsured residents who have been impacted by the recent fires in Boulder County or by COVID-19 can access a new Disaster Relief Special Enrollment Period now through March 16, 2022.  ""These numbers prove Connect for Health Colorado is a success story,"" said Colorado Senator John Hickenlooper. ""Congress needs to keep premiums low to make health care an affordable reality for every Coloradan.""  ""The record level of enrollments we're seeing tells me that people are finding plans in their budget and that our sign-up process is smoother than ever before,"" said Chief Executive Officer Kevin Patterson.  ""While the regular Open Enrollment Period is complete, we opened our doors again. We're here to make sure those who find themselves affected by the recent Marshall Fire and the pandemic can get the coverage and care they need,"" Patterson said.  ""The American Rescue Plan helped make health care more affordable and accessible for nearly 200,000 Coloradans. That is what progress looks like,"" said Colorado Senator Michael Bennet. ""As we continue to face ongoing challenges as a result of COVID-19 and the Marshall Fire, I'm grateful that the enrollment deadline has been extended to ensure more families can get covered this year.""  Additional Enrollment Opportunities and Assistance  Qualifying events, like certain household changes or losing health insurance from a job, also open a 60-day Special Enrollment Period for residents who need health insurance or want to change their plan. People can enroll in Health First Colorado (Colorado's Medicaid program) and the Child Health Plan Plus (CHP+) program any time during the year if they qualify.  Free help is available year-round from enrollment experts--certified Brokers and community-based Assisters-- located throughout Colorado. Connect for Health Colorado offers Enrollment Centers to provide help signing up for a health insurance plan in person, virtually or by phone.  To apply for health insurance and to find local enrollment assistance contact Connect for Health Colorado at ConnectforHealthCO.com or by calling 855-752-6749 .  Read this original document at: https://www.hickenlooper.senate.gov/press-releases/hickenlooper-cheers-record-200000-coloradans-enrolled-for-health-insurance-with-connect-for-health/",1
"How higher taxes on the rich could affect your investment goals and home prices surge 12% in February, the biggest jump since 2006","Personal Finance Daily How higher taxes on the rich could affect your investment goals and home prices surge 12% in February, the biggest jump since 2006 Tuesday's top personal finance stories  Another Tuesday (almost) in the books!  Congratulations on finishing our first-ever money challenge! We want to know what you thought. You can reach us at mlamagna@marketwatch.com and esnow@marketwatch.com.  And now for today's top stories:  How higher taxes on the rich could affect your investment and financial goals  Consider tax-advantaged investments and other ways to make your portfolio more tax efficient. Read More  My sister's home is in foreclosure, so she's moving in with our parents. She posted on Facebook that she deserves their home. What should I do?  'She is the power of attorney for my parents and will be executor of their will. She is getting a payment from Veterans Affairs to take care of them.' Read More  I saved $1.1M for retirement, earn $128K and have $22K in cash. Can I afford my dream car - an $80K Nissan GT-R?  'I'm 41 and single with no kids, and have always been a big saver.' Read More  My sister inherited the family home, but not the contents. She set up a 'garage sale' - and key items were missing. Should I pursue legal action?  'She kept saying, ""I have to think about my retirement."" She is 67. I think she is padding her 401(k) with everything she can get her hands on.' Read More  Is my boyfriend of 13 years entitled to half my house? I bought it 12 years ago - and he never helped with the bills  'He is now claiming that he's entitled to half the value of the house.' Read More  Popular culinary site Epicurious took away beef recipes in a 'pro-planet' move - its users didn't complain  Popular culinary site Epicurious took away all its beef recipes and promotions, a deliberate move to promote ""sustainable"" eating. Read More  Home prices surge 12% in February, the biggest jump since 2006 - a $35,000 gain for median-priced homes  The Mountain region, which incorporates the states traversed by the Rocky Mountains including Arizona and Idaho, saw the largest gain. Read More  The No. 1 emerging property market in America isn't in Texas or Florida - you may never even have heard of it  Previously overlooked real-estate markets brace for the 'New American Consumer.' Read More  Do you still need to wear a mask if you're fully vaccinated? The CDC has new advice  'Fully vaccinated people can still carry the virus, but are very unlikely to get sick from it,' said Dr. Victoria Ward, a clinical assistant professor at Stanford University and pediatrician Read More  The 2021 Genesis G80 vs. the 2021 Cadillac CT5-which is better?  A relative newcomer to the luxury sedan field, we compare the Genesis G80 with the Cadillac CT5, a midsize sedan that's priced more like a compact. Read More",1
What happens when worker benefits are cut? Some suggest that workers offset benefit loss with more saving elsewhere; Evidence from state and...,"Encore News & Commentary What happens when worker benefits are cut? Some suggest that workers offset benefit loss with more saving elsewhere; Evidence from state and local workers suggests that doesn't always happen Evidence from state and local workers suggests that doesn't always happen  The economist's simple life cycle model predicts that workers will respond to a $1 decrease in their defined benefit savings by increasing their supplemental savings by $1. Whether this prediction holds in practice may turn out to be very important for state and local workers.  Read: Saving for retirement? Here are 4 key lessons  Although the common story is that these workers spend a full career in government and retire with substantial defined benefit pensions, that often is not the case - all plans are not equally generous, many plans may lack the funding to pay full benefits, and one in four public sector workers is not covered by Social Security.  Read: What's the best place for you to retire? Pick what matters most - you may be surprised  In other words, a lot of reasons exist for state and local workers to augment their pensions with outside saving, and all state workers and most local workers have access to supplemental defined-contribution plans - namely 457s, 401(k)s, 401(a)s, and 403(b)s.  To see whether public workers take advantage of these options, my colleagues estimated the relationship between participation in a supplemental defined-contribution plan, on the one hand, and low wealth accumulation in a defined-benefit plan, low plan funded levels, or lack of Social Security coverage, on the other. To do this analysis, they merged individual-level data in the Survey of Income and Program Participation (SIPP) with plan-level data from the Public Plans Database (PPD).  Read: The 5 most affordable Caribbean islands to retire to - and 2 to avoid  The key results suggest that workers do respond to low contributions to their primary defined-benefit plan - the solid red bars in figure 1 below - but the magnitudes are tiny. For example, a one-percentage-point increase in the employer contribution rate is only associated with a 0.19-percentage-point decrease in the participation rate, relative to a baseline of 21%. And the striped bars in Figure 1 show that workers do not respond at all to having a very poorly funded pension plan or not having Social Security coverage.  The bottom line is that people do not always respond as theory would suggest. State and local workers may simply not be aware of how much saving is taking place through their defined benefit pension; they may not appreciate the extent to which their plan is adequately funded; and they may not understand the implications of not being covered by Social Security.  Read: This no-nonsense strategy can get you the retirement you want  Whatever the reason for the lack of response, states and localities cannot count on their workers making up for reduced pension income through supplemental savings.",1
"SCAM ALERT: LOAN REPAYMENT COMPANIES SCAMMING STUDENTS, CHARGING THEM FOR SERVICES AVAILABLE FOR FREE","SCAM ALERT: LOAN REPAYMENT COMPANIES SCAMMING STUDENTS, CHARGING THEM FOR SERVICES AVAILABLE FOR FREE FRANKFORT, Ky., April 16 -- Gov. Andy Beshear issued the following news release:  Today, Gov. Andy Beshear and the Kentucky Higher Education Assistance Authority (KHEAA) warned that if Kentucky students owe money on federal student loans, they should watch out for scamming loan repayment companies.  The companies offering to help students lower their payments may be charging large fees for services available for free.  ""My administration will always put education first, and part of that means protecting Kentucky students, after they've graduated, from predatory companies trying to take advantage of them as they pay back the loans that helped them pursue their education goals,"" Gov. Beshear said.  Some third-party companies claim to offer document preparation services and act as though they can help students qualify for a loan forgiveness program, but they may want upfront fees and personal and financial information. The Federal Trade Commission says it is illegal for companies to charge upfront fees before providing debt relief services.  The Governor and KHEAA warn borrowers to be skeptical about companies that:  Ask for payment up front and for monthly fees to monitor an account; Promise immediate loan forgiveness; or Ask for a student's FSA ID password and a power of attorney. ""To avoid falling victim to a scam, start with the servicer the Department of Education has assigned your loan to,"" said Gene Hutchins, executive director of the Kentucky Higher Education Assistance Authority. ""Your servicer can tell you what your options are and can help you with the forms you need. And unlike these scam companies, your servicer will never charge you a fee for their assistance.""  If a student doesn't know what his or her servicer is, that information can be found at https://studentaid.gov/h/manage-loans.  If students believe they have been contacted by a scammer, they should report it to the Consumer Financial Protection Bureau here and the Kentucky Attorney General's Office here.  This is KHEAA's Money Tip of the Month.  KHEAA is the state agency that administers Kentucky's grant and scholarship programs, including the Kentucky Educational Excellence Scholarship (KEES). The agency also provides financial literacy videos at itsmoney.kheaa.com and free copies of ""It's Money, Baby,"" a guide to financial literacy, to Kentucky schools and residents upon request at publications@kheaa.com.  KHEAA's sister agency, the Kentucky Higher Education Student Loan Corporation (KHESLC), offers low-cost Advantage Loans to help students and parents pay for college or refinance student loans. For more information about Advantage Loans, visit www.advantageeducationloan.com.  Many of KHEAA's student aid programs are funded by Kentucky Lottery receipts.  For more information about Kentucky scholarships and grants, visit kheaa.com; write to KHEAA, P.O. Box 798, Frankfort, KY 40602; or call 800-928-8926, ext. 6-7214.  For any query with respect to this article or any other content requirement, please contact Editor at contentservices@htlive.com",1
State Pension age changes could affect when you will be able to retire - check yours now,"Lifestyle,Money State Pension age changes could affect when you will be able to retire - check yours now The State Pension qualifying age will rise to 68 between 2037 and 2039.  TheState Pensionage is regularly reviewed to make sure that it is affordable and fair as people are living longer and spending a greater proportion of their adult life inretirementthan in the past.  TheDepartment for Work and Pensions(DWP) said that ""when the State Pension was introduced in 1948, a 65-year-old could expect to spend 13.5 years receiving the benefit, around 23 per cent of their adult life"".  However, this has been increasing ever since and it is now estimated that a 65-year-old can expect to live for another 22.8 years, or 33.6 per cent of their adult life inretirement.  The latest projections from the Office for National Statistics show that the number of people over State Pension age in the UK is expected to grow by a third to 16.9 million in 2042.  Half a million Universal Credit claimants hit by sudden tax debt deduction  How long PIP payments take to come through after making a new claim for the monthly benefit  As a result, the UK Government hasimplemented a timetablefor increasing the State Pension age to 68 between 2037 and 2039.  Born on or before April 5, 1970 - no change  Born between April 6, 1970 and April 5, 1978 - your State Pension age is currently 67, it will increase to between 67 years and 1 month, and 68 years, depending on your date of birth  Born after April 6, 1978 - no change, your State Pension age will be 68  With all these changes it can be hard for people to know exactly when they will qualify forState Pensionand be able to retire.  Fortunately, theUK Governmenthas provided a free and easy to use online tool which gives an exact date for State Pension qualification, just by entering your gender and date of birth.  The tool provides information on when the user will:  Reach State Pension age  Qualify for Pension Credit  Be eligible for free bus travel - which is 60-years-old for everyone in Scotland  Most-Read Money Stories Today  Choose whether you are looking to calculate yourState Pension ageor bus pass age - you can do one, then check the other.  Once theState Pension ageoption is selected, input your date of birth.  Next, select whether you're a man or woman.  The final screen reveals the exact date that you will reach State Pension age.  It's also possible from this screen to get information on when you could become eligible for Pension Credit, get a pension forecast or receive other State Pension information.  Check your State Pension age on the GOV.UK websitehere.  Get the latest money saving and benefits news sent straight to your inbox. Sign up to our weekly Money newsletter .  If you want full State Pension when you retire this is how many years you need to work",1
