,0
pension,96
fund,94
investment,75
million,75
market,70
plan,65
price,62
deal,60
bank,58
rate,56
cent,55
money,53
time,52
company,52
bond,52
financial,50
tax,49
card,48
customer,48
service,41
debt,39
sale,38
saving,37
student,37
group,35
share,34
state,33
estate,32
loan,32
investor,32
well,32
offer,30
insurance,29
month,29
mortgage,29
pay,29
product,28
point,28
business,28
week,28
cost,27
private,26
case,26
account,25
claim,25
risk,25
holding,24
government,24
home,24
asset,23
advantage,23
need,23
credit,23
buy,23
higher,23
retirement,23
international,22
value,22
many,22
first,22
health,22
planning,22
back,22
take,22
even,21
discount,21
access,21
able,21
member,21
benefit,21
recent,21
mean,20
court,20
online,20
federal,20
interest,20
capital,20
law,19
made,19
since,19
firm,19
day,19
change,19
plant,19
around,19
note,19
second,19
management,19
uk,19
three,19
already,18
client,18
policy,18
stock,18
"""we",18
news,18
worth,18
energy,18
debit,18
next,18
number,18
another,18
top,18
family,18
cash,18
offshore,18
according,17
want,17
aetna,17
property,17
president,17
save,17
however,17
best,17
public,17
income,17
provider,17
check,17
use,17
current,16
hercules,16
trust,16
travel,16
national,16
rule,16
six,16
today,16
high,16
cancellation,16
easy,16
announced,16
find,16
lender,15
available,15
store,15
visa,15
whether,15
shopper,15
partner,15
act,15
borrower,15
abbey,15
still,15
sell,15
education,15
place,15
low,15
know,15
across,15
woman,15
fall,15
following,15
sultan,14
2004,14
award,14
review,14
resort,14
scheme,14
life,14
return,14
billion,14
come,14
england,14
good,14
biggest,14
australia,14
manager,14
biden,14
move,13
solution,13
commission,13
start,13
bill,13
filing,13
include,13
gold,13
march,13
better,13
loss,13
effect,13
working,13
fell,13
increase,13
major,13
board,13
rise,13
purchase,13
doe,13
london,13
gain,13
lovehoney,13
payment,13
legal,12
house,12
provide,12
long,12
go,12
help,12
charge,12
report,12
cut,12
call,12
finance,12
amount,12
relief,12
every,12
york,12
college,12
american,12
told,12
work,12
quarter,12
little,12
aldi,12
information,12
wiper,12
filed,12
basis,12
yield,12
known,11
using,11
managed,11
monday,11
fee,11
condition,11
looking,11
vehicle,11
vspring,11
resource,11
end,11
become,11
compared,11
added,11
april,11
data,11
country,11
personal,11
source,11
article,11
look,11
process,11
website,11
v|100,11
must,11
late,11
"""the",11
index,11
much,11
beef,11
individual,11
practice,11
july,11
seen,11
fear,11
administration,11
set,11
among,11
2010,11
ongoing,11
tesco,11
system,11
bottle,11
onshore,10
medical,10
driving,10
community,10
north,10
fixed,10
free,10
significant,10
hayman,10
invest,10
challenge,10
flight,10
profit,10
stadion,10
expert,10
going,10
reported,10
protection,10
term,10
unit,10
contribution,10
director,10
perrelli,10
executive,10
caisse,10
sunwing,10
order,10
vacation,10
mark,10
cheaper,10
lower,10
they're,10
build,10
give,10
third,10
advice,10
2003,10
range,10
action,10
based,10
due,10
recently,10
something,10
boot,10
workplace,10
saver,10
employer,10
chief,10
selling,10
early,10
o'reilly,10
canadian,10
average,10
attorney,10
show,9
expects,9
total,9
level,9
right,9
deposit,9
put,9
inc,9
expected,9
world,9
cup,9
really,9
couple,9
cobraguard,9
rayan,9
europe,9
used,9
growth,9
offering,9
found,9
release,9
item,9
offered,9
realtor,9
least,9
past,9
biden's,9
security,9
example,9
housing,9
finding,9
care,9
period,9
without,9
authority,9
hedeker,9
might,9
le,9
four,9
part,9
thought,9
revenue,9
airline,9
aid,9
reduction,9
economic,9
schiff,9
additional,9
huge,9
al,9
support,9
concern,9
canada,9
swbc,9
portman,9
teacher,8
rare,8
given,8
strategy,8
virgin,8
limited,8
think,8
wine,8
cinema,8
competitive,8
contract,8
paying,8
elsewhere,8
performance,8
option,8
let,8
demand,8
dow,8
warned,8
reduced,8
measure,8
gilt,8
program,8
although,8
south,8
allow,8
instead,8
addition,8
55,8
issued,8
opportunity,8
pound,8
thing,8
cover,8
department,8
10,8
believe,8
small,8
harry,8
likely,8
industry,8
reward,8
30,8
2005,8
riu,8
technology,8
took,8
ruhlin,8
hotel,8
approach,8
import,8
portfolio,8
active,8
open,8
estimate,8
decision,8
jones,8
november,8
ban,8
2014,8
city,8
car,8
leading,8
bonus,8
event,8
big,8
increased,8
related,8
existing,8
switch,8
potential,8
county,8
adviser,7
ask,7
explained,7
currently,7
annual,7
general,7
helped,7
treasury,7
expense,7
restriction,7
wanted,7
separate,7
agent,7
appears,7
reduce,7
leave,7
repayment,7
full,7
balance,7
extra,7
record,7
run,7
budget,7
experience,7
entrepreneur,7
watch,7
spring,7
leaf,7
association,7
taking,7
50%,7
sign,7
b&q,7
joined,7
cobra,7
sure,7
ali,7
50,7
pet,7
stop,7
-and,7
amid,7
global,7
fivewalls,7
problem,7
buyer,7
commitment,7
included,7
building,7
park,7
