,word,frequency
621,retirement,1072
155,tax,964
199,plan,813
549,pension,808
573,income,769
481,money,732
531,credit,703
32,saving,702
430,rate,673
119,financial,638
172,pay,587
231,home,573
48,time,571
255,loan,564
521,benefit,534
34,investment,503
232,need,490
449,fund,482
235,mortgage,470
315,cost,459
1023,account,434
1964,student,433
624,contribution,416
234,cent,416
203,debt,397
214,help,391
503,payment,390
177,interest,385
652,state,377
75,child,377
439,month,349
2,family,331
1504,percent,327
24,service,319
395,age,312
525,work,304
1490,health,295
611,company,291
186,bank,289
670,card,289
419,million,287
239,government,287
219,market,286
480,amount,272
218,property,266
1041,insurance,260
808,worker,256
91,even,256
303,bill,253
543,save,251
836,employee,250
253,life,245
108,want,243
160,price,241
33,asset,241
1044,care,240
47,change,238
389,increase,233
1219,good,232
338,cash,223
1403,higher,221
1640,fee,218
818,security,214
832,employer,213
839,program,210
392,report,203
107,go,203
322,end,203
1485,return,201
815,ira,201
1185,expense,199
2139,woman,198
159,house,198
117,mean,198
1270,high,196
853,long,190
1390,keep,188
474,number,187
1254,job,186
294,best,186
86,parent,186
668,business,183
77,however,183
464,put,179
701,start,179
643,option,179
817,social,178
1224,value,178
547,information,177
434,paying,177
1,risk,173
637,buy,172
330,free,171
171,scheme,171
926,college,169
129,set,169
758,federal,169
144,find,169
1033,stock,168
492,part,168
3950,score,167
763,next,167
29,estate,166
759,working,166
562,offer,163
1146,school,162
691,paid,162
2065,system,162
27,individual,161
1050,education,161
572,low,161
745,future,161
799,american,159
1539,annual,158
7,made,157
431,inflation,156
687,consider,156
735,might,155
866,better,155
1514,receive,155
49,since,154
314,dont,154
602,lower,153
1272,adviser,153
2624,give,153
568,customer,152
380,available,151
870,public,150
187,lender,150
37,come,150
279,current,150
8,enough,149
2637,charge,148
21,research,147
555,used,146
25,found,146
282,think,145
405,support,144
1377,around,143
730,study,143
289,investor,142
2170,member,139
133,able,139
57,without,138
535,group,138
370,planning,138
1421,look,136
68,couple,136
822,thing,135
421,budget,135
367,deal,135
534,consumer,135
848,provide,134
46,today,133
854,term,133
587,personal,132
868,likely,130
150,advice,130
193,policy,130
425,energy,130
126,worth,129
721,five,127
901,must,127
132,important,127
794,lot,126
638,annuity,124
1035,trust,124
1822,finance,124
710,every,123
204,longer,122
672,making,122
163,housing,122
416,living,122
546,sure,121
1523,share,120
382,rise,120
860,university,120
2496,car,120
528,whether,118
683,retire,118
554,claim,118
846,city,118
459,example,117
180,monthly,116
2219,portfolio,116
1505,private,115
38,rule,115
931,firm,115
739,decision,113
1357,limit,112
1800,homeowner,111
1887,10,111
2057,contribute,111
2128,full,111
479,total,108
1483,level,108
175,dollar,108
1654,past,108
361,purchase,107
922,based,107
972,issue,106
987,senior,106
484,billion,105
544,result,105
433,household,105
882,least,105
729,recent,105
166,buyer,105
87,old,105
1216,spending,104
223,borrower,103
1024,roth,103
454,local,103
1140,cut,103
332,young,102
1096,â€“,102
455,council,102
749,act,102
558,uk,102
2929,sell,102
3485,salary,101
897,case,101
78,doe,101
1221,national,101
523,online,100
339,already,100
712,show,100
2488,youre,99
1438,invest,99
1726,often,99
2272,getting,99
740,survey,99
113,law,98
806,big,98
509,sum,98
1513,top,97
998,president,97
826,problem,97
224,taking,97
599,instead,97
518,check,96
42,person,95
771,small,95
1745,capital,95
689,balance,94
403,question,94
1722,spouse,94
82,move,94
1484,equity,93
3401,real,93
201,leave,93
1509,early,92
1512,retiree,91
1488,goal,91
1565,half,91
3211,manager,91
4403,fixed,90
505,water,90
2394,gift,90
1913,never,90
67,include,90
2165,investing,90
1045,medicare,89
732,office,89
167,using,89
970,professional,88
181,repayment,88
1621,little,88
907,currently,88
1137,away,88
1036,bond,88
1678,deduction,88
458,rent,87
692,due,87
1405,director,87
2315,wife,87
1550,older,87
551,live,86
15,four,86
605,pound,86
501,area,86
646,buying,86
2131,super,86
1122,single,85
366,really,85
1202,continue,85
170,deposit,84
45,place,83
1256,large,82
51,expert,82
349,form,82
442,cover,81
1733,strategy,81
178,face,81
950,figure,81
238,20,81
1213,medical,81
1764,executive,81
696,nearly,80
369,looking,80
65,key,80
1017,earn,80
541,data,79
1370,period,79
512,eligible,79
1746,gain,79
221,among,79
443,six,79
1587,spend,79
305,within,79
927,provider,79
623,defined,78
1068,industry,78
1203,line,78
300,increased,78
2124,expect,77
1117,given,77
1677,premium,77
2592,feel,76
2770,court,76
470,access,76
1368,sale,76
2366,rrsp,76
1361,possible,75
176,extra,75
1278,april,75
379,rather,75
1506,sector,75
1721,later,74
1768,allow,74
596,different,74
1051,advantage,74
816,401k,74
1154,add,73
384,told,73
2790,process,73
640,product,73
699,read,73
633,lump,73
1946,building,73
1086,source,73
1359,effect,73
1560,standard,72
1664,growth,72
804,reason,72
779,k,72
795,longterm,71
353,impact,71
79,apply,71
1166,relief,71
1475,factor,71
152,article,70
1094,across,70
1004,traditional,69
2001,economic,69
324,afford,69
2292,â€”,69
2177,received,69
1028,type,69
694,1,69
182,major,69
1667,begin,68
975,client,68
2457,challenge,68
676,several,68
1737,expected,68
914,association,68
2453,fact,68
936,potential,68
673,required,67
654,allowance,67
850,coverage,67
504,rising,67
1385,site,67
1471,wealth,67
1937,call,67
334,ask,67
3078,open,67
849,avoid,66
12,choose,66
142,added,66
2098,understand,66
3073,although,66
1114,always,65
880,taxpayer,65
1690,administration,65
1143,expensive,65
2422,men,65
1151,earning,65
600,order,65
1603,planner,65
2184,thats,65
809,50,65
2256,stay,65
1585,reduce,65
106,ensure,65
499,hard,65
1680,loss,64
915,retired,64
448,meet,64
74,partner,64
1207,additional,64
629,taxable,64
1957,community,63
195,affect,63
174,thousand,63
584,certain,63
11,left,63
147,visit,63
1666,beneficiary,63
627,taxfree,62
417,crisis,62
1030,distribution,62
2338,answer,62
245,owner,62
1142,become,62
513,resident,62
3274,review,62
1500,yet,62
3089,starting,62
88,situation,61
55,someone,61
2693,board,61
755,phone,61
273,minimum,61
695,plus,61
2041,record,60
1812,department,60
2157,friend,60
580,power,60
3174,alternative,60
805,course,60
1230,husband,60
653,earnings,59
6,adult,59
1823,agency,59
515,kid,59
2085,easy,59
1855,september,59
1423,fall,59
83,protection,59
290,chief,59
1740,offered,58
1478,needed,58
3890,took,58
1136,taken,58
355,difficult,58
2201,others,58
2494,range,58
1338,county,58
2664,run,57
345,institute,57
352,almost,57
2140,third,57
542,let,56
3294,youll,56
582,called,56
1499,generation,55
1516,percentage,55
3080,second,55
28,control,55
1274,maximum,55
1493,simply,55
2921,either,55
556,contact,55
2997,saver,55
714,done,54
1562,index,54
1279,march,54
411,far,54
1366,shop,54
1554,basis,54
919,nationwide,54
85,death,54
437,hit,54
1416,great,54
1455,ever,53
3163,opportunity,53
1327,store,53
1233,overall,53
529,qualify,53
1093,asked,53
1906,action,53
2372,estimated,53
364,nothing,53
3106,advisor,53
2037,item,53
1956,significant,53
482,invested,53
1623,date,53
1684,simple,52
1095,country,52
2048,reform,52
1128,got,52
298,employment,52
1127,recently,52
666,website,52
2229,selling,52
1790,july,52
301,wage,52
1273,lifetime,52
233,5,51
4352,graduate,51
831,require,51
811,ago,51
2962,broker,51
2936,mutual,51
1384,staff,51
1055,15,51
426,food,51
3060,started,50
236,compared,50
103,head,50
3703,canada,50
905,choice,50
2478,john,50
2169,superannuation,50
254,30,50
312,"""the",50
1255,solution,50
453,assistance,50
802,reach,50
483,pot,50
1180,aged,49
66,difference,49
2212,short,49
1439,especially,49
810,decade,49
948,note,49
1749,late,49
935,hold,49
928,management,49
438,earlier,49
894,street,49
4,inheritance,49
825,address,49
3583,comparison,48
3140,union,48
3422,participant,48
3076,match,48
631,usually,48
765,believe,48
609,offering,48
89,lose,48
3290,try,48
114,society,48
1193,sign,48
1329,name,48
1196,book,48
829,california,48
953,irs,48
2267,build,48
306,hour,48
2260,profit,48
388,doesnt,48
319,trying,47
977,2,47
2588,london,47
2576,generally,47
