,article_title,text,relevant,relevant_kristen,mismatch,predicted0,predicted
0,Intervention was the right thing to do,"News Intervention was the right thing to do FINANCE  The Bank of England's extraordinary intervention in the UK Government bond market was absolutely necessary. Despite representing an embarrassing U-turn on its recently announced plans to sell £80bn of gilts into the markets, its emergency purchases helped restore stability to UK financial markets.  The need for temporary giltbuying was catalysed by problems arising in UK pension funds, which hold hundreds of billions of pounds in UK gilts.  Record low gilt yields in recent years meant government bond prices rose sharply, earning pension funds large profits. However, with global inflation and interest rates rising all over the world, bond yields have risen during 2022, resulting in significant capital losses for pension investors. The money received from past profits helped them manage those losses but in recent days the situation dramatically worsened.  The loss of confidence in sterling through September sparked a rushed exit from UK assets, pushing 30-year gilt yields above 4 per cent. The day after International Monetary Fund warnings about the direction of UK economic policy, international investors accelerated sales or shorting of UK gilts, causing yields to crash through 5 per cent.  The sudden collapse in gilt prices led financial companies to demand more cash collateral to cover pension fund losses. A £1bn pension fund was, perhaps, suddenly facing cash calls of over £100m. Instead of the usual one or two weeks to allow time for orderly sales, they demanded the money in one or two days. This created a negative spiral because pension funds had run out of buffers and faced either selling gilts or other assets into the falling markets or risking default.  The Bank of England's remit to protect financial stability, required it to step in and stop the situation spinning out of control, reducing 30-year yields to 4 per cent.  Pension funds have been stabilised but it is important to stress that final-salary scheme members were not going to lose all their pensions. They are protected by the Pension Protection Fund, which insures 80-90 per cent of their promised pension.  Defined contribution pension scheme members, whose pensions depend on their investments, and do not promise a specific pension, may have been more severely affected. These funds often have significant investments in gilts and bonds, supposedly to reduce risk and provide stability, but rising bond yields have caused large losses. There is no insurance or employer to underpin these pensions and further bond market crises would mean even lower pensions for members.  The Bank of England's intervention is only a temporary measure. More must be done to restore market confidence. If we are to avoid ongoing financial crises, and pension fund damage, Government must restore confidence in UK economic management. This could include lowering taxes on a wider tax base, boosting private investment, or cutting spending, instead of further unfunded tax cuts.  Baroness Ros Altmann is a Tory peer and pensions expert  Government must restore confidence in UK economic management",0,0.0,0.0,0.0,0
10,Drivers face £35bn tax bill to plug the gap as switch to electric cars hits revenue,"News Drivers face £35bn tax bill to plug the gap as switch to electric cars hits revenue * Fuel duty is spent on schools, hospitals and other priorities such as the police  * But at present drivers of electric cars pay no fuel duty nor vehicle excise duty  * Government urged to have a 'conversation' with drivers on new ways to be taxed  * The report recommends 'road pricing' which would charge drivers per car trip  Drivers will have to pay new taxes to plug the £35billion shortfall created by the switch to electric cars - and ministers must spell out what they are, a report says today.  The Commons transport committee's report urges the Government to start an 'up-front conversation' with drivers about new ways they could be taxed.  At present, drivers of electric cars pay no fuel duty, which nets £28billion a year, or vehicle excise duty, which brings in £7billion.  Fuel duty is spent on schools, hospitals and other priorities such as the police.  Vehicle excise duty is spent fixing roads. To replace them, the report recommends 'road pricing', which would charge drivers per trip, based on the distance travelled, duration of the journey and vehicle type.  It also urges ministers to set up an arms-length body to recommend a new regime by the end of this year.  The sale of new petrol and diesel cars will be banned in 2030, so millions of motorists are expected to go electric before then.  A government spokesman said it was committed to keeping the transition to electric cars 'affordable for consumers'.  Figures from the Society of Motor Manufacturers and Traders show plug-in vehicles accounted for more than one in six new cars registered in the UK last year.  'The situation is urgent,' the report warned. 'Work must begin without delay.'  Tory MP Huw Merriman, who chairs the committee, said the UK faces a '£35 billion black hole in finances unless the Government acts now'.  He went on: 'That's 4% of the entire tax-take. Only £7 billion of this goes back to the roads; schools and hospitals could be impacted if motorists don't continue to pay.  'We need to talk about road pricing.  'Innovative technology could deliver a national road pricing scheme which prices up a journey based on the amount of road, and type of vehicle, used.'  He added: 'Net-zero emissions should not mean zero tax revenue.'  RAC Foundation director Steve Gooding said the 'silver lining of zero-carbon motoring comes wrapped in a cloud of trouble for the Chancellor'.  He went on: 'Drivers choosing to go electric deserve to know what is coming next - particularly if the promise of cheap per-mile running costs is set to be undermined by a future tax change.  'If the Treasury is thinking it can leave this issue for another day but still recoup their losses from electric vehicles they risk a furious backlash from drivers who made the choice to go electric expecting to save money.'",1,1.0,0.0,0.0,0
15,Boots announces big changes to Advantage Card club -and it means more discounts,"Money Boots announces big changes to Advantage Card club -and it means more discounts Boots' loyalty scheme is called the Advantage Card and now shoppers can get exclusive discounts on certain goods, including on brands such as No7 and L'Oréal Paris  Boots has confirmed a huge change to its Advantage Cardloyalty scheme -and it means shoppers can bag bigger discounts.  The high street health and beauty retailer has brought back its Price Advantage initiative permanently, as of this month.  Price Advantage gives exclusive discounts to Boots customers with an Advantage card in over 2,000 stores across the UK.  Shoppers have to hand over their Advantage Card at the tills to get the lower price that is advertised on the shelves.  Customers will know if an item is included in the Price Advantage as they'll be advertised with a pink sticker in stores.  The pink stickers will show the price for Advantage Card holders and the price for other shoppers.  Price Advantage isn't available on the Boots website and shoppers without an Advantage Card won't be able to get the lower prices.  Boots says shoppers will see discounts on around 150 products each month.  This month, customers can save over £8 on the L'Oréal Paris Revitalift Laser Pure Retinol Deep Anti-Wrinkle Night Serum which costs £16.60 for Advantage Card holders, compared to £24.99 for regular customers.  Also on offer is Boots' No7 Lash Extender Fiber Mascara, down to £11.95 from £13.95, as well as Boots' Ingredients Hyaluronic Acid Serum 30ml, which is reduced to £4 from £5.  Do you think Boots' Advantage Card is worth it Let us know your thoughts in the comments section below.  However, just because something is included in Advantage Prices, that doesn't necessarily mean you won't find it cheaper at another store.  Make sure you compare prices online using websites such as Price Spy and CamelCamelCamel to check you're getting the best deal.  Always go for the lowest price to make the biggest saving.  What is an Advantage Card  It is free to sign up for an Advantage Card -you can do this on the Boots website -and the scheme allows you to accrue points as you shop.  Advantage Card holders get four points for every £1 spent -and points are worth 1p each in return.  This means if you collect 100 points, you'd have £1 to spend, while 1,000 points are worth £10.  You can also get personalised discounts sent to you by Boots by being an Advantage Card holder.  A spokesperson from Boots said: ""Helping shoppers get more out of life for less, all Boots Advantage Card holders will be given access to the Price Advantage programme meaning they'll be able to get their hands on even bigger savings by being members of the loyalty scheme.""  Boots says it will also release hundreds of half price deals this month, as well as offering everyday essentials for just £2.",0,0.0,0.0,0.0,0
17,"Drivers at risk of £2,500 fine and three points for wiper blade error -how to check","Money Drivers at risk of £2,500 fine and three points for wiper blade error -how to check You could be deemed to be driving a car in a dangerous condition if broken or blunt wiper blades stop you from clearing your windscreen properly -here's how to check yours are in working order  Drivers could risk being fined up to £2,500 for not replacing the wiper blades on their car.  This is because you could be deemed to be driving a car in a dangerous condition, if broken or blunt wiper blades stop you from clearing your windscreen properly.  If your wiper blades aren't working, then your visibility of the road could be affected while you're driving.  As well as risking a £2,500 fine, you could also see three points added to your driving licence, according to National Tyres and Autocare.  If the offence is committed within three years of a previous conviction for a similar offence, then you could be disqualified from driving for a minimum of six years.  Failure to have proper control of a vehicle or full view of the road and traffic ahead also carries a fine of £1,000 -or £2,500 for passenger-carrying or goods vehicles.  Section 40a of The Road Traffic Act: Using a Vehicle in a Dangerous Condition Part II, states that: ""A person is guilty of an offence if he uses, or causes or permits another to use, a motor vehicle or trailer on a road when the condition of the motor vehicle or trailer, or of its accessories or equipment is such that the use of the motor vehicle or trailer involves a danger of injury to any person.""  Michael Bourne, Group Marketing Director of National Tyres commented: ""Windscreen wipers are pivotal to safety and being able to see those around you, yet there are so many people unaware of how important it is to keep them in the best possible condition.  ""The last thing a driver wants is to realise their visibility is compromised by defective windscreen wipers when they're travelling at speed or when the weather suddenly turns bad.  ""With winter just around the corner, it's important that motorists are mindful of their own safety and the condition of their vehicle is of paramount importance to other road users.""  Have you successfully appealed a driving fine Let us know: mirror.money.saving@mirror.co.uk  How to check your wiper blades  Your car can fail its MOT if your windscreen wipers don't work properly or they don't clear your windscreen effectively.  National Tyres and Autocare has provided the following tips to check yours are in working order:  * Check your wipers don't leave streaks and smears behind when they remove rain, debris, or dirt.  * Check if the rubber on your wipers is cracked or split in any way.  * Make sure your wipers are not bouncing off your screen rather than smoothly gliding across the surface of the glass.",0,1.0,1.0,0.0,0
27,SAUCY SALES Lovehoney slashes 50% off sex toys for next two weeks as part of summer sale – here’s what to buy,"Uncategorized SAUCY SALES Lovehoney slashes 50% off sex toys for next two weeks as part of summer sale - here's what to buy LOVEHONEY has announced a huge summer sale, with up to 50 per cent off sex toys for the next two weeks.  Until July 20th, they're offering a bumper rate of discounts to the delight of shoppers.  Available now, there's up to 50 per cent of sex toys at Lovehoney - but you'll have to be quick as there's only two weeks left to snap up a deal.  * Save up to 50 per cent at Lovehoney - buy here  Shoppers can save up to 50 per cent off best sellers including own brand Lovehoney toys, the best selling Womanizer and more.Those looking for a great deal should check out the Womanizer which has a helpful £24 slashed of the price tag.Designed to mimic oral sex, it's been dubbed a ""game changer"" after shoppers claimed it gave them an orgasm in less than 30 seconds.It even received hundreds of five-star reviews online with one woman calling it a ""little slice of heaven"" and even asking if it was appropriate to ""marry a machine"".The sale ends of July 20th, so shoppers haven't got long if they want to snap up a saucy deal.A Lovehoney spokesperson said: ""We like to reward our loyal customers with a big range of bargains over the summer. In addition to these discounts, there are fresh deals running on the website every day throughout the four weeks of the promotion.""You can see the full list of deals here, but here are the items to snap up now:  * Lovehoney Bigs Bunny Girthy Rabbit Vibrator, £41.99, WAS £69.99 - buy here  * Sweetie Bunny Ears Vibrator,£20.99, WAS £29.99 - buy here  * Lovehoney Secret Sensations Remote Control Love Egg, £20.99, WAS £34.99 - buy here  * Lovehoney Booty Buddy Silicone Butt Plug £7.79, WAS £12.99 - buy here  * Lovehoney Beginner's Unisex Strap-On Harness Kit , £27.99, WAS £39.99 - buy here  * Lovehoney Ring It On Rabbit Love Ring £17.99, WAS £29.99 - buy here  * Lovehoney Reversible Double Stroker Ultimate Nodules, £8.99, WAS £14.99 - buy here  * Womanizer Classic Rechargeable Clitoral Stimulator, £95.99, WAS £119.99 - buy here  One woman says her Amazon's £30 vibrator is a 'gift from God' which stopped her from walking for 30 minutes in ecstatic review.  Another woman says vibrator made her 'lose my mind in 4 minutes' and it's so good she might 'give men the swerve permanently'.  Lovehoney have also released a 'magic' vibrator which gives instant orgasms & feels like 'popping candy' between legs  This article and any featured products have been independently chosen by The Sun journalists. All recommendations within the article are informed by expert editorial opinion. If you click a link and buy a product we may earn revenue: this helps to support The Sun, and in no way affects our recommendations.",0,0.0,0.0,0.0,0
29,"MENENDEZ WARNS OF IMPENDING EVICTION, FORECLOSURE CRISIS DUE TO COVID-19 PANDEMIC","MENENDEZ WARNS OF IMPENDING EVICTION, FORECLOSURE CRISIS DUE TO COVID-19 PANDEMIC WASHINGTON, DC, July 1 -- The office of Sen. Bob Menendez issued the following news release:  U.S. Senator Bob Menendez (D-N.J.), the ranking member of the Senate's housing subcommittee, today spoke on the Senate floor to warn his colleagues of a looming foreclosure and eviction crisis brought on by the COVID-19 pandemic and economic fallout if Congress fails to act.  ""[A]n impending storm ... is brewing and headed our way. It will bring with it enormous financial pain. It will threaten public safety. It will make fighting the pandemic that much harder. And it will set back our nation's economic recovery,"" said Sen. Menendez. ""If the Senate fails to respond to this looming crisis, Americans will needlessly suffer, families will be displaced, personal fortunes will be wiped out, and the scars will run so deep, it could take decades to heal the wounds.""  Sen. Menendez urged his colleagues to pass four separate pieces of legislation aimed at stabilizing the housing market and ensuring residents can remain safe and secure in their homes.  This week, he introduced the Coronavirus Housing Counseling Improvement Act (https://www.menendez.senate.gov/search?q=housing+counseling&access=p&as_dt=i&as_epq=&as_eq=&as_lq=&as_occt=any&as_oq=&as_q=&as_sitesearch=&client=wyden&sntsp=0&filter=0&getfields=&lr=&num=15&numgm=3&oe=UTF8&output=xml_no_dtd&partialfields=&proxycustom=&proxyreload=0&proxystylesheet=default_frontend&requiredfields=&sitesearch=&sort=date%3AD%3AS%3Ad1&start=0&ud=1) to expand access to critical information, assistance programs and services for millions of families struggling to remain in their homes because of the COVID-19 pandemic and economic fallout. According to research, homeowners who receive counseling have a better chance at avoiding default, protecting their credit scores, reducing debt and securing mortgage modifications.  Sen. Menendez announced that he will introduce a separate bill, the Emergency Housing Assistance for Older Adults Act, which would provide $1.2 billion for two key HUD housing assistance programs in order to ensure that federally-assisted senior housing facilities have the necessary resources to effectively protect residents during the COVID-19 pandemic.  The senator has cosponsored the Housing Assistance Fund (https://www.menendez.senate.gov/news-and-events/press/menendez-will-introduce-bill-to-create-new-75b-housing-assistance-fund-to-keep-nj-families-in-their-homes) to provide $75 billion in targeted assistance to keep people in their homes while they search for new employment or wait to get back to work by helping residents pay the mortgage, utilities, and support to prevent eviction, delinquency or foreclosure. He is also an original cosponsor of the Emergency Rental Assistance and Rental Market Stabilization Act, which would provide $100 billion to help families pay rent and help property owners maintain safe and healthy housing.  For any query with respect to this article or any other content requirement, please contact Editor at contentservices@htlive.com",1,0.0,1.0,0.0,0
52,Getting a loan is all about risk,"Getting a loan is all about risk IF YOU are thinking about applying for a home loan, it's important to gain an understanding of what the banks and lenders look for in the approval process.  The lender will assess your financial position and ability to service the loan, and based on the level of risk that you impose on them, will make a decision on how much or how little they are prepared to lend you, says Loan Market.  Let's look at some of the important key measures used by lenders to help assess your risk.  Income  Your current income will be used to determine the amount of money you can borrow.  Earning a higher income could suggest that you are able to better service your home loan.  But it's not just about what you earn - the lender will also look at your employment history and tenure.  In addition, they will assess your employment status (i.e. full-time, part-time, casual, permanent) to better understand your position.  In the case of self-employed applicants, the process may require more work and further lender scrutiny as the risk is usually higher.  Credit history  Your credit history gives the lender an indication of how you conduct your debts.  Having a clean credit history can increase your chances of borrowing a higher amount because it demonstrates that you are a responsible borrower.  You can request a copy of your credit file to ensure there isn't a black mark against your name.  The last thing you want is to be knocked back by your lender because of a telco default you incurred a few years ago.  In Australia, you can obtain your credit report from VEDA for free.  Deposit amount  The larger the amount you have for a deposit, the less risk the lender is taking when lending to you.  Having regular and consistent deposits made into your bank account will show the lender your ability to save despite having other current expenses.  Debts  Having debts can also determine your borrowing eligibility.  If you have any outstanding debts such as credit cards or personal loans, it would be beneficial to have them paid off before applying for a home loan.  If you have multiple debts, combining them into one could also help to reduce your repayments, which will look more favourable to the lender.  The lender will assess how much money you have left over (after paying your debts) and determine whether you will still be able to afford paying a mortgage.  A mortgage broker plays a key role when you're looking for home loan approval.  You can speak to them about the best way to position yourself to maximise your chances of having your home loan approved.  If you're looking to roll your debts into one, a mortgage broker can talk to you about your options when it comes to a consolidation loan.  This can not only reduce your monthly repayments but can also get you a lower interest rate.",1,1.0,0.0,0.0,0
61,"Residential Customers Seeing Lower Electric Bills Thanks to NatGas, EIA Says","Residential Customers Seeing Lower Electric Bills Thanks to NatGas, EIA Says Besides helping to lower carbon emissions, the continued growth of cheap natural gas-fired power generation in the United States in 2016 seems to be lowering residential electric bills as well.  Based on data collected through the first half of 2016, U.S. residential electricity prices are trending down for the first time in over a decade, according to the Energy Information Administration's (EIA) ""Today in Energy"" note published Thursday.  Through six months ""residential customers paid on average 12.4 cents/kWh, or 0.7% lower than the same period last year,"" EIA wrote. ""If this trend continues for the rest of 2016, annual average residential electricity prices would decline for the first time since 2002. Over the past five years, nominal residential prices have increased an average of 1.9% annually, about the same rate as overall inflation.""  Residential ratepayers ""in most areas of the country are seeing lower retail electricity prices this year compared with the same time last year,"" and the availability of cheap natural gas has been one of the main catalysts, EIA said. ""Over the first six months of 2016, the weighted average cost of natural gas delivered to electricity generators was $2.58/MMBtu, 28% lower than the first half of 2015.""  The New England region, coming off higher retail and wholesale power prices between 2013 and 2014, has seen residential prices fall by 6% through the first six months of 2016, averaging around 19.2 cents/kWh, EIA said. ""Improved supplies of natural gas into the region, along with lower natural gas prices, have contributed to the region's declining retail electricity rates so far in 2016.""  Noting a recent uptick in natural gas prices, EIA said its latest projections expect the average delivered cost of natural gas to be 27% higher in 2H2016 compared to 1H2016, with prices continuing to trend upward in 2017. Consequently, U.S. residential electricity prices are also expected to increase in 2017 by 3%, EIA said.  ""Not all recent declines in electricity prices can be attributed to developments in natural gas markets,"" EIA said. Hawaii, for example, uses petroleum in a number of its generating units, ""and the falling cost of crude oil has contributed to a 12% decline in retail electricity prices so far in 2016.""  After natural gas overtook coal's monthly share of U.S. electric generation for the first time in decades in 2015, power sector demand for gas has continued to increase in 2016 (see Daily GPI, Sept. 2).  The increased role of gas in the power stack has helped drive down greenhouse gas emissions, with U.S. carbon dioxide emissions falling below 2005 levels last year (see Daily GPI, May 9).  Even President Obama on Monday defended the role natural gas and unconventional shale development have played in addressing climate change (see Daily GPI, Oct. 4).  You must have JavaScript enabled to enjoy a limited number of articles over the next 180 days.",1,1.0,0.0,0.0,0
67,Health Care on a Budget,"UpFront Health Care on a Budget The impact medical costs will have in retirement.  ""We talk about all aspects of what participants will need in retirement,"" says Michael Woomer, senior vice president of institutional and retirement plan services at Fort Pitt Capital Group in Pittsburgh. ""People basically understand they will be facing health care costs, but they don't understand how big the impact will be, so we tell participants how important it is to save as much as they can.""  A recent report from the National Association of Government Defined Contribution (DC) Administrators estimates that a 65-year-old couple retiring today should expect to spend $220,000 on health care over the course of a 20-year retirement. Woomer says the costs could range from $150,000 to $400,000.  It is far more important for plan advisers to discuss health care costs in retirement than it is to talk about lifestyle goals, says Mary McDougall, a Merrill Lynch financial adviser in St. Paul, Minnesota. The premiums and out-of-pocket expenses will range from $10,000 to $20,000 a year, she says. ""The expenses are a lot more than they expect.""  ""I would hope that advisers are not refraining from having this conversation,"" says Scott Laue, a financial adviser with Savant Capital Management in Rockford, Illinois. ""As a certified financial planner [CFP], we are required to disclose both the good and the bad.""  The trend toward high-deductible health care plans paired with health savings accounts (HSAs) is bringing the subject of health care costs-pre- and post-retirement-to the fore, says Shelby George, vice president, adviser services, at Manning & Napier in Rochester, New York. Just like the movement from pensions to defined contribution plans, employers are moving toward high-deductible plans, which put more of the onus on participants, and ""are encouraging advisers to talk about [those coming expenses] more in their education materials.""  Advisers are also increasingly encouraging participants to invest in HSAs. ""This is one area that participants can use to save above and beyond the retirement plan,"" Woomer says.  Even for participants with more than $5 million in liquid assets-the market advised by Frank Migliazzo, managing director, private wealth advisers at Merrill Lynch in Troy, Michigan-health care costs are a concern. Migliazzo notes that Merrill Lynch research has found that, over the last 30 years, health care costs have risen an average of 6 percentage points above inflation each year.  Merrill Lynch has also found that many people will end up in a nursing home, he adds. For 65-year-olds, there is a 15% chance they will need to be placed in a care facility. At age 85, that possibility rises to 55%, and at age 90, it increases to 70%. Migliazzo's clients are also worried about dementia. As a result, many are buying long-term-care insurance.  The report found that Medicare covers 62% of health care costs, but the individual is responsible for the remaining 38%.",1,1.0,0.0,0.0,0
76,New house sales build,"Property New house sales build Signs of growth in new housing sales have emerged in NSW and Western Australia, the states with the biggest house price gains.  Nationally, new housing sales rose 3.4 per cent after a 4.7 per cent decrease in July, the Housing Industry Association's seasonally adjusted figures, released on Tuesday, show.  However, new apartment sales fell 11.2 per cent across the country after new units sales eased in NSW and Victoria.  ""It is no coincidence that the states where we've seen rises in new detached house sales are where we've seen the most price growth,"" HIA chief economist Harley Dale said.  New home sales were up 10.2 per cent in August for Western Australia and 7.4 per cent in NSW. South Australia also performed strongly, recording an 8.2 per cent increase.  Dr Dale said recovery was under way in those two states but overall sales were trending sideways when Sydney and Perth were not included in the figures.  In Queensland, where new house sales inched up at 3.6 per cent, a housing recovery will not be as rapid.  ""It will be challenging and take time to gather momentum; it will be a grinding recovery in Queensland,"" he said.  In Victoria, new house sales fell 2.4 per cent.  Dr Dale said he expected further declines this financial year, as the state was still coming off peak growth in new home and apartment sales in 2010.  Improvements in Sydney have been seen in the housing and apartment market. However, there were fewer new unit sales in August.  Across the industry, builders and developers have noted an overall improvement in sentiment and inquiry levels.  Home builder Metricon chief executive Mario Biasin said sales had improved in NSW, Queensland and South Australia but off very low bases.High demand expected to continue  He said regional Victoria was performing well but metropolitan Melbourne remained quiet.  ""We're seeing more investors than first-home buyers at the moment, and people wanting to upgrade. More people are building now that they feel confident in selling their existing home,"" he said.  Years of under-supply in Sydney's land market, coupled with strong population growth and low interest rates, are fuelling the market.  Cameron Holt, chief executive of Investa's house and land arm, said the biggest challenge was maintaining the supply to the hungry Sydney market.  The unlisted land development arm of Investa Property Group has reported an increase in demand, particularly on Sydney's fringe.  Mr Holt said demand had been high over the past six months, and he expected that to continue.  Medium and high-density projects continue to sell strongly in Sydney, such as Australand's Metro project at Wolli Creek, where 55 of the 70 apartments sold at the September launch.  CBA economists said while low interest rates are not showing up in retail trade data, the housing figures suggest lower rates are having a significant effect on the housing market.",0,1.0,1.0,0.0,0
