frac, num_similar_relevant,num_similar_irrelevant,similarity_threshold_relevant,similarity_threshold_irrelevant, num_words_relevant, num_words_irrelevant, true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score

single,4,3,0.8,0.8,40,40,335,410,370,80,0.6234309623430963,0.475177304964539,0.8072289156626506,0.5982142857142857
single,4,3,0.8,0.8,40,45,280,533,247,135,0.6803347280334728,0.5313092979127134,0.6746987951807228,0.5944798301486199
single,4,3,0.8,0.8,40,50,208,644,136,207,0.7129707112970711,0.6046511627906976,0.5012048192771085,0.5480895915678523
single,4,3,0.8,0.8,40,55,127,711,69,288,0.701255230125523,0.6479591836734694,0.3060240963855422,0.41571194762684127
single,4,3,0.8,0.8,40,60,61,743,37,354,0.6728033472803348,0.6224489795918368,0.14698795180722893,0.23781676413255362
single,4,3,0.8,0.8,40,65,17,761,19,398,0.6510460251046025,0.4722222222222222,0.04096385542168675,0.07538802660753881
single,4,3,0.8,0.8,40,70,6,766,14,409,0.6460251046025105,0.3,0.014457831325301205,0.027586206896551727
single,4,3,0.8,0.8,40,75,1,770,10,414,0.6451882845188285,0.09090909090909091,0.0024096385542168677,0.004694835680751174
single,4,3,0.8,0.8,40,80,0,773,7,415,0.6468619246861924,0.0,0.0,0
single,4,3,0.8,0.8,40,85,0,774,6,415,0.6476987447698744,0.0,0.0,0
single,4,3,0.8,0.8,40,90,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,40,95,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,40,100,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,40,105,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,40,110,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,40,115,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,45,40,382,281,499,33,0.5548117154811716,0.4335981838819523,0.9204819277108434,0.5895061728395062
single,4,3,0.8,0.8,45,45,351,404,376,64,0.6317991631799164,0.4828060522696011,0.8457831325301205,0.6147110332749562
single,4,3,0.8,0.8,45,50,292,528,252,123,0.6861924686192469,0.5367647058823529,0.7036144578313253,0.6089676746611054
single,4,3,0.8,0.8,45,55,229,632,148,186,0.7205020920502092,0.6074270557029178,0.5518072289156627,0.5782828282828284
single,4,3,0.8,0.8,45,60,157,696,84,258,0.7138075313807531,0.6514522821576764,0.3783132530120482,0.47865853658536583
single,4,3,0.8,0.8,45,65,73,741,39,342,0.6811715481171549,0.6517857142857143,0.17590361445783131,0.27703984819734345
single,4,3,0.8,0.8,45,70,28,758,22,387,0.6577405857740586,0.56,0.06746987951807229,0.12043010752688173
single,4,3,0.8,0.8,45,75,9,769,11,406,0.6510460251046025,0.45,0.021686746987951807,0.041379310344827586
single,4,3,0.8,0.8,45,80,5,771,9,410,0.6493723849372385,0.35714285714285715,0.012048192771084338,0.023310023310023312
single,4,3,0.8,0.8,45,85,2,773,7,413,0.6485355648535565,0.2222222222222222,0.004819277108433735,0.009433962264150943
single,4,3,0.8,0.8,45,90,0,774,6,415,0.6476987447698744,0.0,0.0,0
single,4,3,0.8,0.8,45,95,0,774,6,415,0.6476987447698744,0.0,0.0,0
single,4,3,0.8,0.8,45,100,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,45,105,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,45,110,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,45,115,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,50,40,395,224,556,20,0.5179916317991632,0.4153522607781283,0.9518072289156626,0.5783308931185945
single,4,3,0.8,0.8,50,45,375,307,473,40,0.5707112970711297,0.44221698113207547,0.9036144578313253,0.5938242280285037
single,4,3,0.8,0.8,50,50,348,421,359,67,0.6435146443514644,0.49222065063649223,0.8385542168674699,0.6203208556149733
single,4,3,0.8,0.8,50,55,288,534,246,127,0.6878661087866109,0.5393258426966292,0.6939759036144578,0.6069546891464699
single,4,3,0.8,0.8,50,60,236,618,162,179,0.7146443514644352,0.592964824120603,0.5686746987951807,0.5805658056580566
single,4,3,0.8,0.8,50,65,154,697,83,261,0.7121338912133891,0.6497890295358649,0.3710843373493976,0.4723926380368098
single,4,3,0.8,0.8,50,70,100,735,45,315,0.698744769874477,0.6896551724137931,0.24096385542168675,0.35714285714285715
single,4,3,0.8,0.8,50,75,44,759,21,371,0.6719665271966527,0.676923076923077,0.10602409638554217,0.18333333333333332
single,4,3,0.8,0.8,50,80,16,765,15,399,0.6535564853556486,0.5161290322580645,0.03855421686746988,0.07174887892376683
single,4,3,0.8,0.8,50,85,5,769,11,410,0.6476987447698744,0.3125,0.012048192771084338,0.023201856148491882
