,word,frequency,frequency_scaled,relevancy_score,weighted_score
0,fund,1664,1.0,39.392241567373276,39.392241567373276
1,company,1341,0.8058894230769231,38.07018186151981,30.680356896813745
2,market,1237,0.7433894230769231,37.17936807870865,27.638748986395793
3,investment,1173,0.7049278846153846,38.83350194990635,27.374818381754896
4,service,1085,0.6520432692307693,38.914170153439045,25.373722726250822
5,tax,1037,0.6231971153846154,39.50599122047424,24.62001976900949
6,plan,1032,0.6201923076923077,39.26973181962967,24.35478559967417
110,taxation,1037,0.6231971153846154,39.50599122047424,21.049336679365332
8,financial,915,0.5498798076923077,37.37961042672396,20.55429299306035
7,rate,960,0.5769230769230769,34.96272632479668,20.170803648921158
9,state,857,0.5150240384615384,38.24447624385357,19.696824603955832
11,price,826,0.4963942307692308,38.83739674091339,19.278659680285134
12,money,822,0.49399038461538464,38.1543822735548,18.84789797407575
15,property,727,0.43689903846153844,40.88453623652458,17.862414569683516
18,home,709,0.4260817307692308,40.77938722074032,17.37535188672169
24,business,645,0.3876201923076923,42.861376121640205,16.61393485484251
111,finance,915,0.5498798076923077,37.37961042672396,16.49073573508952
17,credit,710,0.4266826923076923,38.12272723019123,16.266307892689767
13,loan,763,0.45853365384615385,35.260118037462234,16.167950758764235
16,bank,712,0.42788461538461536,37.40377168357372,16.00449846075991
10,million,837,0.5030048076923077,31.523348718881607,15.856395960158597
26,pay,606,0.3641826923076923,43.41209225356579,15.809932635613501
19,cost,673,0.40444711538461536,38.507220938801765,15.574134430176434
20,stock,659,0.39603365384615385,37.563100308179855,14.876251864838055
14,mortgage,746,0.4483173076923077,33.00167006254196,14.795219871788644
32,income,567,0.3407451923076923,41.50050278007984,14.141096800664224
21,benefit,658,0.3954326923076923,35.50642128288746,14.040399762103334
115,paid,606,0.3641826923076923,43.41209225356579,14.004819099501194
22,insurance,655,0.3936298076923077,35.42352423071861,13.94375503072157
116,paying,606,0.3641826923076923,43.41209225356579,13.935241025513799
33,sale,550,0.33052884615384615,40.36944970488548,13.343267630821524
29,account,581,0.34915865384615385,37.99868696928024,13.267570390115278
28,asset,588,0.35336538461538464,36.103227980434895,12.757631041163293
112,lender,746,0.4483173076923077,33.00167006254196,12.370982390372903
34,interest,534,0.32091346153846156,37.732043132185936,12.108720572468323
25,need,620,0.37259615384615385,32.44567511975765,12.089133758563548
23,investor,652,0.3918269230769231,29.968920469284058,11.74262989541659
27,month,600,0.3605769230769231,32.54135711491108,11.733662421241975
117,purchase,550,0.33052884615384615,40.36944970488548,11.174657059903643
31,share,568,0.34134615384615385,32.631098955869675,11.13850012435936
35,product,531,0.3191105769230769,34.89108684659004,11.13411485308853
118,sell,550,0.33052884615384615,40.36944970488548,11.093438907234004
